robot,condition,mirror_coeff,value_coeff,warmup_iterations,reward_auc,reward_auc_change_vs_no_trs_percent,reward_auc_first_10000,reward_auc_first_10000_change_vs_no_trs_percent,final_reward_mean,final_reward_change_vs_no_trs,reward_35_iteration,reward_35_transition_change_vs_no_trs_percent,straight_reward_1p5_iteration,straight_reward_1p5_transition_change_vs_no_trs_percent,final_velocity_error_xy_mps,throughput_transitions_per_second,throughput_change_vs_no_trs_percent,learning_seconds_per_iteration,learning_time_change_vs_no_trs_percent,collection_seconds_per_iteration,collection_time_change_vs_no_trs_percent,full_run_wall_time_hours,full_run_wall_time_change_vs_no_trs_percent
go2,No TRS,0.0,0.0,,29.506275168468694,,24.088092424837587,,37.05881290435791,,17239,,11523,,0.12163930936157703,7683.457722886144,,0.10439641245949703,,1.4968542918556182,,9.19478118022283,
go2,"0.10/0.05, w=10",0.1,0.05,10,28.61853428160248,-3.0086511489423207,23.48807378743801,-2.4909346361561058,35.21330341529846,-1.8455094890594452,16156,-6.282266952839488,12029,4.3912175648702645,0.13529985075443984,7132.132306615331,-7.175485779385782,0.16221945089926462,55.38795546465867,1.5723197813886207,5.041605582026931,9.982009586294492,8.561687229326576
go2,"0.10/0.05, w=100",0.1,0.05,100,26.46527533427571,-10.306281686963626,21.961399292983714,-8.828815060760098,32.76176653289795,-4.297046371459956,,,17838,54.80343660505076,0.15382340264320374,7263.41612080604,-5.466830393677535,0.1549061100997593,48.382599028351336,1.539492678705457,2.8485328920679898,9.7322633002864,5.845512900509764
go2,"0.10/0.05, w=500",0.1,0.05,500,28.309422726228316,-4.056264084188332,23.63623970706459,-1.8758343741121064,34.44867018890381,-2.6101427154540957,,,12702,10.231710492059353,0.13730721060931683,7458.788839441972,-2.9240596037246047,0.15259106403959113,46.16504575652187,1.496567043949827,-0.019190104698507682,9.466882969737053,2.959306852233645
go2,"0.20/0.10, w=10",0.2,0.1,10,27.086788071969774,-8.199906910257715,22.545912379066053,-6.402250616497007,33.98136110115051,-3.0774518032073956,,,16608,44.129133038271284,0.14133108635991812,6478.22391119556,-15.686086331947202,0.18164979997256547,74.00004051196744,1.7270312842514952,15.377381328848738,10.963004902601241,19.230731952400415
go2,"0.20/0.10, w=100",0.2,0.1,100,26.91897238338917,-8.768652668990196,21.865790712574398,-9.22572727249975,34.55952876281738,-2.499284141540528,,,16414,42.44554369521827,0.1360236871317029,6508.533076653833,-15.291613341382105,0.19155705916332574,83.4900784906231,1.7276108289600653,15.416098838744219,11.027562957141134,19.932848221124154
go2,"0.20/0.10, w=500",0.2,0.1,500,25.61287672027643,-13.195154000166276,20.59324630384523,-14.508604746919563,32.385487825393675,-4.673325078964233,,,,,0.15396630089730023,6787.295014750737,-11.663534055326085,0.17297424264619146,65.6898341341957,1.6501183551432783,10.239076984417906,10.473966611689992,13.912081281701184
go2,"0.30/0.15, w=10",0.3,0.15,10,23.47498537135972,-20.440702063112994,23.316987659769875,-3.2011865093668157,22.281684900283814,-14.777128004074093,,,,,0.36429815924167636,6025.954497724886,-21.57236084249122,0.20480447973309235,96.17961470903123,1.8906324875403049,26.307049245022252,12.023851367367639,30.76821657517954
go2,"0.30/0.15, w=100",0.3,0.15,100,25.30349318244488,-14.243688713765657,20.33204407631123,-15.592967190101936,32.277516082763675,-4.781296821594232,,,16269,41.18719083571987,0.1461805642992258,7191.0514525726285,-6.4086546457699844,0.15458446277654841,48.074497135160634,1.568657173157406,4.796918557301599,9.892373637225893,7.586830434894121
go2,"0.30/0.15, w=500",0.3,0.15,500,29.864472659694627,1.213970550944743,23.764431792116426,-1.3436540636461047,37.6157428855896,0.5569299812316899,13491,-21.741400313243233,7852,-31.85802308426625,0.11812797952443362,6379.167058352918,-16.975308664069733,0.1881366150040252,80.21367839341902,1.7424886123771293,16.41003548962694,11.097514602806832,20.69362375557795
