robot,condition,mirror_coeff,value_coeff,warmup_iterations,joint_index,joint_name,leg,pair,effort_limit_nm,torque_range_nm,mean_torque_nm,cycle_amplitude_nm,normalized_cycle_amplitude,cycle_count
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.6938719749450684,-0.20289576053619385,0.8469359874725342,0.03573569567394659,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.6052170991897583,-1.6653738617897034,0.30260854959487915,0.01276829323185144,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.962575912475586,-1.5323505401611328,3.481287956237793,0.14688978718302925,0.5
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.5248733758926392,-0.09609907865524292,0.7624366879463196,0.03217032438592066,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.8317669630050659,-1.3353031277656555,0.41588348150253296,0.017547826223735567,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.566336393356323,-1.1008983850479126,3.2831681966781616,0.1385303036573064,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.595320999622345,-0.15954914689064026,0.7976604998111725,0.033656561173467194,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.345776557922363,-1.3407502174377441,3.6728882789611816,0.15497418898570386,0.5
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.4454355239868164,-1.3190674781799316,0.2227177619934082,0.009397373923772498,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.12944844365119934,-0.19895891845226288,0.06472422182559967,0.002730979823864965,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.3481332063674927,-0.25446397066116333,0.6740666031837463,0.028441628826318413,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.978017210960388,-1.6946385502815247,3.489008605480194,0.14721555297384786,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.27426445484161377,-1.4829066395759583,0.13713222742080688,0.005786169933367379,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.2157673835754395,-0.18322426080703735,0.6078836917877197,0.025649100919313068,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.24572646617889404,-1.5782542824745178,0.12286323308944702,0.005184102662001984,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.2991127371788025,-0.03638461232185364,0.6495563685894012,0.027407441712632964,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.41163575649261475,-1.4950745701789856,0.20581787824630737,0.008684298660181746,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.352428913116455,-1.1027100086212158,3.1762144565582275,0.1340174876184906,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.391660451889038,-1.6009942293167114,3.695830225944519,0.15594220362635103,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.3746049404144287,-0.08367890119552612,0.6873024702072144,0.029000104228152506,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.6542489528656006,-1.4101325273513794,0.3271244764328003,0.01380272052459073,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.077707767486572,-0.9085178375244141,3.038853883743286,0.12822168285836652,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.736279308795929,-0.137364000082016,0.8681396543979645,0.036630365164471074,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.9592236876487732,-1.1643690168857574,0.4796118438243866,0.02023678665925682,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.053965091705322,-0.7927238941192627,3.026982545852661,0.12772078252542873,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.982702255249023,-1.6592130661010742,3.9913511276245117,0.1684114399841566,0.5
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.6558961868286133,-0.1794750690460205,0.8279480934143066,0.034934518709464416,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.4974851608276367,-1.4375410079956055,0.24874258041381836,0.010495467528009214,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.499501645565033,-0.23040255904197693,0.7497508227825165,0.031635055813608294,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.045955419540405,-1.1817795038223267,3.5229777097702026,0.14864884851351065,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.42668616771698,-1.500531256198883,0.21334308385849,0.009001817884324472,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.3141915798187256,-0.1100051999092102,0.6570957899093628,0.02772556075566932,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.31205451488494873,-1.3156043887138367,0.15602725744247437,0.006583428584070648,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.35542356967926,-1.693638026714325,3.67771178483963,0.15517771244049072,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.3207085728645325,-0.2025611698627472,0.6603542864322662,0.027863050060433176,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.511442422866821,-1.6174496412277222,3.7557212114334106,0.15846924942757007,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.11650598049163818,-1.7624000906944275,0.05825299024581909,0.002457932077882662,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.3055106401443481,-0.05947309732437134,0.6527553200721741,0.027542418568446164,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.5129265785217285,-1.419258713722229,0.25646328926086426,0.01082123583379174,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.1081132888793945,-1.0977082252502441,3.0540566444396973,0.1288631495544176,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.6102651953697205,-0.04901054501533508,0.8051325976848602,0.03397183956476204,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.849586009979248,-1.1662306785583496,0.424793004989624,0.017923755484794263,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,5.771304130554199,-0.799382209777832,2.8856520652770996,0.12175747110873839,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.6664413213729858,-0.18927103281021118,0.8332206606864929,0.03515698990238367,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.5600289106369019,-1.5502658486366272,0.2800144553184509,0.011814955920609745,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.5008218884468079,-0.17872896790504456,0.7504109442234039,0.03166290903896219,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.331931114196777,-0.8515992164611816,3.1659655570983887,0.13358504460330756,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.35784995555877686,-1.6538743376731873,0.17892497777938843,0.007549577121493183,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.022614970803260803,-0.08844505995512009,0.011307485401630402,0.00047710908867638826,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.4414681196212769,-0.15286296606063843,0.7207340598106384,0.03041071982323369,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,6.5809725522994995,-1.3649984002113342,3.2904862761497498,0.13883908338184597,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.41867923736572266,-1.478710651397705,0.20933961868286133,0.008832895303074318,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.3010669946670532,-0.11478567123413086,0.6505334973335266,0.027448670773566525,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.3113994598388672,-1.3232890367507935,0.1556997299194336,0.006569608857360068,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.271301627159119,-1.6570122838020325,3.6356508135795593,0.15340298791474935,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,1.3045615553855896,-0.19244340062141418,0.6522807776927948,0.02752239568324029,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,7.524055004119873,-1.6157104969024658,3.7620275020599365,0.15873533763965977,1.0
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,0.12243103981018066,-1.7819103002548218,0.06121551990509033,0.002582933329328706,1.0
