robot,condition,mirror_coeff,value_coeff,warmup_iterations,leg_index,leg,pair,vertical_grf_impulse_ns_per_s,vertical_grf_impulse_ns_per_m,grf_impulse_ns_per_m,contact_duty_factor,vertical_force_contact_mean_n,vertical_force_p95_n,vertical_force_p99_n,vertical_force_peak_n,positive_vertical_loading_rate_p95_nps,positive_vertical_loading_rate_p99_nps,positive_vertical_loading_rate_peak_nps,vertical_grf_impulse_ns_per_m_change_vs_same_foot_percent,vertical_force_p99_n_change_vs_same_foot_percent,vertical_force_peak_n_change_vs_same_foot_percent,positive_vertical_loading_rate_p99_nps_change_vs_same_foot_percent,positive_vertical_loading_rate_peak_nps_change_vs_same_foot_percent
go2,No TRS,0.0,0.0,,0,front_left,front,49.22723681979709,87.60399085113457,88.77464231974854,0.5533333333333333,88.96354413702785,113.51043052673339,116.34395469665526,125.64949035644531,3692.781715393138,5069.706733703719,6282.474517822399,,,,,
go2,No TRS,0.0,0.0,,1,front_right,front,45.41753201564153,80.82430207781408,82.98710799081915,0.6377777777777778,71.21215821267836,102.38945274353023,107.60061752319336,110.31403350830078,2753.677520752011,4804.612869262797,4859.893798828229,,,,,
go2,No TRS,0.0,0.0,,2,rear_left,hind,36.69165071275499,65.2958654803177,66.5882153428505,0.5711111111111111,64.24608101455154,86.9213508605957,89.52661781311035,93.12381744384766,2335.829238891604,4456.613693237399,4656.190872192482,,,,,
go2,No TRS,0.0,0.0,,3,rear_right,hind,29.56745486685638,52.617762299543536,54.128928891109254,0.6133333333333333,48.20780684809754,68.45448722839355,73.80457351684569,76.5541000366211,2284.839553833054,3353.6599121094455,3618.0297851563273,,,,,
go2,"0.10/0.05, w=10",0.1,0.05,10,0,front_left,front,43.54181869983673,76.97586431536452,78.78410245381744,0.5488888888888889,79.3272000604313,105.65935554504394,108.72109916687012,179.23988342285156,4690.303115844819,5320.038833618278,8961.99417114277,-12.132011832463686,-6.551999671715036,42.650704682032384,4.937802383130685,42.650704682032384
go2,"0.10/0.05, w=10",0.1,0.05,10,1,front_right,front,57.66062561180857,101.9359463147609,104.03510822613198,0.6422222222222222,89.78298105644932,104.55237045288087,107.17053390502929,127.11691284179688,4570.105209350682,4963.971786499129,6355.845642089979,26.120416377516563,-0.3997036709118995,15.231860171472867,3.3167899594121364,30.78157476656054
go2,"0.10/0.05, w=10",0.1,0.05,10,2,rear_left,hind,34.35790554602941,60.7399863956805,62.984521568930084,0.58,59.237768182809326,85.4509567260742,88.7643537902832,119.79906463623047,2205.8757781982467,4089.7983093262587,5989.953231811651,-6.977285699674951,-0.8514384229485805,28.644924493637312,-8.230809515030602,28.644924493637312
go2,"0.10/0.05, w=10",0.1,0.05,10,3,rear_right,hind,26.2030930587798,46.32341496436085,47.6724244561839,0.6111111111111112,42.877788641639675,60.02338409423828,65.51730438232421,68.39138793945312,1700.2928161621392,3219.7107391358104,3369.9047088244265,-11.962400262006756,-11.228666110549279,-10.662671356939967,-3.9941191559099143,-6.858016408540424
go2,"0.10/0.05, w=100",0.1,0.05,100,0,front_left,front,45.279251856015165,84.39594756617292,85.69500595674478,0.6177777777777778,73.289616104939,105.98937301635743,108.61685913085937,111.57535552978516,2580.1827239990753,4982.910263061629,5338.71002197277,-3.6619830372945805,-6.641596106942405,-11.201107769505736,-1.7120609771184903,-15.022177856389495
go2,"0.10/0.05, w=100",0.1,0.05,100,1,front_right,front,62.55529636019929,116.59674785241485,118.52785085729326,0.6866666666666666,91.09994615563004,107.21205635070801,192.15957305908185,280.6069030761719,5179.455490112412,9617.74411010761,14030.345153808892,44.25951706970588,78.58593889357724,154.37099356452876,100.17729569090802,188.69653812582808
go2,"0.10/0.05, w=100",0.1,0.05,100,2,rear_left,hind,36.49139252305031,68.01626625336698,68.96407320229342,0.48,76.0204965993762,105.98786315917968,110.45696586608885,143.9747314453125,3066.8605804442764,5523.508590698359,7198.736572265779,4.166268037092324,23.378910724262212,54.60570173911441,23.93958666599032,54.60570173911441
go2,"0.10/0.05, w=100",0.1,0.05,100,3,rear_right,hind,19.608455771179173,36.54817907284426,37.43789711135082,0.4066666666666667,48.2175141914242,63.241463851928714,64.97085479736329,65.90763092041016,1578.763446807892,2300.458106994676,2747.7130889893165,-30.54022543797663,-11.969066818692653,-13.907118117929674,-31.404550035376346,-24.05498981068799
go2,"0.10/0.05, w=500",0.1,0.05,500,0,front_left,front,48.47166828552882,85.59885207073178,86.92353762980764,0.62,78.1758643078975,105.42763023376465,107.87310356140136,109.27151489257812,3464.1773986817007,5263.855163574331,5463.575744629023,-2.288866935080758,-7.280869175661109,-13.034653318056266,3.829579107207559,-13.034653318056266
go2,"0.10/0.05, w=500",0.1,0.05,500,1,front_right,front,52.59119292497635,92.87375290840482,94.55641412381948,0.6866666666666666,76.58911591015973,117.48312835693358,122.96394416809082,154.5878143310547,5169.309310913191,5818.879699707155,7729.390716552899,14.908202756876342,14.278102671284287,40.13431420710625,21.110271691878957,59.044436699759494
go2,"0.10/0.05, w=500",0.1,0.05,500,2,rear_left,hind,36.10037189808157,63.75168223217208,65.89688976561045,0.6533333333333333,55.25567127257383,89.60531425476074,115.11312690734847,128.1758270263672,2393.461189270014,5764.153305053818,6408.791351318496,-2.364902029839988,28.57977852760034,37.64021981128018,29.339307865084187,37.64021981128018
go2,"0.10/0.05, w=500",0.1,0.05,500,3,rear_right,hind,24.222446711631434,42.775784415886065,46.13365618035245,0.6111111111111112,39.63673098266962,67.70047416687012,73.45550491333007,76.54163360595703,2387.3558807373556,3636.066284179763,3827.081680297933,-18.7046682594156,-0.4729633773114972,-0.01628447158036339,8.420841095145049,5.778058986669543
go2,"0.20/0.10, w=10",0.2,0.1,10,0,front_left,front,51.58273742254312,92.15372688175269,93.72479649295167,0.5911111111111111,87.26402947421793,118.09015960693358,120.02775260925293,145.19454956054688,3301.0405731201845,5885.081710815554,7259.727478027498,5.193525987131675,3.166299376879933,15.555223621405624,16.083277000840557,15.555223621405624
