robot,condition,mirror_coeff,value_coeff,warmup_iterations,joint_index,joint_name,leg,pair,effort_limit_nm,torque_rms_nm,torque_abs_p95_nm,torque_abs_p99_nm,torque_abs_peak_nm,normalized_torque_rms,normalized_torque_abs_p95,normalized_torque_abs_p99,normalized_torque_abs_peak,torque_squared_exposure_n2m2s_per_s,torque_squared_exposure_n2m2s_per_m,normalized_torque_capacity_exposure_s_per_s,normalized_torque_capacity_exposure_s_per_m,absolute_work_j_per_s,absolute_work_j_per_m,positive_work_j_per_m,negative_work_j_per_m,absolute_power_p99_w,absolute_power_peak_w,rainflow_equivalent_cycle_count,rainflow_cycle_count_per_s,rainflow_cycle_count_per_m,rainflow_range_max_nm,rainflow_normalized_amplitude_max,torque_cycle_moment_m3_per_s,torque_cycle_moment_m3_per_m,torque_cycle_moment_m5_per_s,torque_cycle_moment_m5_per_m,fatigue_proxy_m3_per_s,fatigue_proxy_m3_per_m,fatigue_proxy_m5_per_s,fatigue_proxy_m5_per_m,cycle_average_equivalent_amplitude_m3_nm,cycle_average_equivalent_amplitude_m5_nm,dwell_fraction_at_or_above_0p50,dwell_time_s_at_or_above_0p50,longest_dwell_s_at_or_above_0p50,dwell_fraction_at_or_above_0p75,dwell_time_s_at_or_above_0p75,longest_dwell_s_at_or_above_0p75,dwell_fraction_at_or_above_0p90,dwell_time_s_at_or_above_0p90,longest_dwell_s_at_or_above_0p90,dwell_fraction_at_or_above_0p99,dwell_time_s_at_or_above_0p99,longest_dwell_s_at_or_above_0p99,normalized_torque_rms_change_vs_same_joint_percent,normalized_torque_abs_p99_change_vs_same_joint_percent,normalized_torque_abs_peak_change_vs_same_joint_percent,torque_squared_exposure_per_m_change_vs_same_joint_percent,fatigue_proxy_m3_per_m_change_vs_same_joint_percent,fatigue_proxy_m5_per_m_change_vs_same_joint_percent,absolute_work_per_m_change_vs_same_joint_percent,dwell_fraction_at_or_above_0p50_change_pp,dwell_fraction_at_or_above_0p75_change_pp,dwell_fraction_at_or_above_0p90_change_pp,dwell_fraction_at_or_above_0p99_change_pp
go2,No TRS,0.0,0.0,,0,FL_hip_joint,front_left,front,23.7,2.139222851374545,4.480677461624144,5.375500097274781,5.650564193725586,0.0902625675685462,0.18905812074363482,0.22681435009598228,0.23842043011500363,4.576274407843037,8.143863585610353,0.008147331104066367,0.014498858063362983,0.6849391791690141,1.2189066350637647,0.7198652562471758,0.49904137881658883,2.4240544795989982,3.0256338119506836,74.0,8.222222222222397,14.6321330804798,8.111323356628418,0.17112496532971347,108.71928924643686,193.47508078406838,1338.594782981908,2382.141527687048,0.008166981399971655,0.014533827410698289,0.00017902240946537774,0.0003185853713131011,2.364680471185771,2.7690575606197183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,1,FL_thigh_joint,front_left,front,23.7,5.163335040423546,10.920762777328488,11.85746745109558,12.317103385925293,0.2178622379925547,0.4607916783682906,0.5003150823247081,0.5197090036255398,26.66002873966562,47.443754000456174,0.047463954743124544,0.08446608271547683,3.8114675321429967,6.78282569540794,5.162654894005673,1.6201708014022664,9.966787805557251,15.834757804870605,60.0,6.666666666666809,11.863891686875514,16.176355838775635,0.3412733299319754,909.2247914752103,1618.041666762546,45222.96089323935,80478.04646957811,0.06830086925549428,0.1215471172449919,0.006048076329889358,0.01076305837376421,5.147395153891399,5.838348975896915,0.011111111111111112,0.09999999999999787,0.019999999999999574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,2,FL_calf_joint,front_left,front,35.55,11.018158894400093,18.34703330993652,19.28154922485351,20.09113121032715,0.3099341461153332,0.5160909510530668,0.5423783185612803,0.5651513701920436,121.3998254222479,216.0411569422672,0.0960591749282407,0.1709453470318877,22.562678478140914,40.1521760445683,10.967852358680316,29.184323685887986,69.08285087585446,135.31161499023438,62.5,6.944444444444592,12.358220507161993,30.29782009124756,0.42612967779532435,4340.290298229615,7723.91009816875,663260.0819509479,1180326.8658741082,0.0966050796384436,0.17191683018486806,0.011681156296066683,0.020787595961099418,8.549887954689366,9.908530954565645,0.09111111111111111,0.8199999999999825,0.0799999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,3,FR_hip_joint,front_right,front,23.7,2.741234934676385,4.834472322463989,5.173425087928772,5.507048606872559,0.11566392129436225,0.20398617394362822,0.21828797839361908,0.23236492012120502,7.5143689670902445,13.37244892811631,0.013378142689188424,0.02380752537541404,2.185496837331189,3.88927466401585,2.5668589319769883,1.3224157320388619,9.975024824142455,10.845696449279785,75.0,8.333333333333512,14.829864608594391,8.940893411636353,0.18862644328346737,178.1818109120906,317.0894557848497,2977.85043225998,5299.334248207062,0.013384998610814621,0.023819726062152075,0.0003982549208978229,0.0007087279867945269,2.7755445646946098,3.240535812343891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,4,FR_thigh_joint,front_right,front,23.7,7.2577338953253925,14.01287760734558,15.08591326713562,15.782977104187012,0.3062334976930546,0.5912606585377882,0.6365364247736549,0.6659484010205491,52.6747012953551,93.73904262099013,0.09377895510932205,0.16688750488880014,7.283652675685784,12.961869964373298,8.297252683134058,4.66461728123924,32.574810256958,52.95749282836914,66.0,7.333333333333489,13.050280855563065,23.75955867767334,0.5012565121872012,2729.700045801539,4857.729852157185,272868.22750551626,485591.8643872623,0.20505477598395525,0.3649121478225173,0.03649314054979745,0.06494260001950687,7.193460010568579,8.205977252536579,0.13777777777777778,1.2399999999999736,0.05999999999999872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,5,FR_calf_joint,front_right,front,35.55,6.369678556297917,12.128855800628656,13.145620889663697,14.332629203796387,0.17917520552174168,0.3411773783580494,0.36977836539138387,0.4031681913866776,40.572804910561516,72.20270443374338,0.032103754273758375,0.05713131951688922,15.2647829294065,27.164959694721176,22.856093298680655,4.308866396040524,228.50622802734367,287.6420593261719,63.0,7.000000000000149,12.45708627121929,18.878253936767578,0.26551693300657636,1516.7793116634073,2699.2358199701816,87687.48144771415,156047.21732858467,0.03376008887169495,0.06007890565696076,0.0015443280907035636,0.0027482611795658926,6.006315191551807,6.600364371050025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,6,RL_hip_joint,rear_left,hind,23.7,3.364056719253491,6.279048991203307,6.610240840911866,6.891960620880127,0.1419433214874891,0.2649387760001396,0.27891311565028964,0.2908000261974737,11.316877610354561,20.13933153043054,0.020147906514900678,0.03585488709151051,0.941066175757183,1.6747060769047706,0.7102734918352501,0.9644325850695202,3.761846234798431,3.980018377304077,74.5,8.277777777777954,14.730998844537096,9.969926118850708,0.21033599406858033,236.87663223919728,421.5418062056431,4833.637437207089,8601.862651297533,0.017794147321919265,0.031666175473132746,0.0006464461325355114,0.0011504050346701075,3.05869485241631,3.574967200973316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,7,RL_thigh_joint,rear_left,hind,23.7,4.517314439788368,8.064817190170286,9.578004903793333,10.30992317199707,0.19060398480119695,0.3402876451548644,0.40413522800815754,0.43501785535852616,20.406129747920495,36.31441696164779,0.03632987902209492,0.06465206245731238,9.413307939551565,16.751769871506404,0.9134109676493144,15.838358903857088,56.955189743041984,60.66317367553711,95.0,10.555555555555781,18.78449517088623,13.527955532073975,0.28539990573995727,497.9594527901166,886.1605518536428,17024.386132849806,30296.32096735069,0.037406660925261986,0.0665682860377466,0.0022768254171605636,0.004051801520867626,3.613302279655274,4.380443398763695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,8,RL_calf_joint,rear_left,hind,35.55,11.236244609012632,17.666641235351562,18.26581283569336,18.482994079589844,0.3160687653730698,0.49695193348386957,0.5138062682332871,0.5199154452767889,126.25319291356544,224.67813087730613,0.09989946444445667,0.17777946386188204,15.618271115677068,27.794021527896778,16.344007703195157,11.450013824701623,43.50721324920654,47.136016845703125,62.5,6.944444444444592,12.358220507161993,19.588647842407227,0.2755084084726755,2001.0132302462414,3560.970634146869,168249.65227686134,299414.3476450663,0.04453804450461919,0.0792591803922048,0.0029631671473789043,0.005273204112991569,6.604969513702247,7.531185303735861,0.035555555555555556,0.3199999999999932,0.05999999999999872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
go2,No TRS,0.0,0.0,,9,RR_hip_joint,rear_right,hind,23.7,3.8420885438650347,7.354138875007628,9.10676435470581,9.388400077819824,0.16211344066941075,0.3103012183547522,0.38425166053611015,0.3961350243805833,14.761644378898943,26.26958250471421,0.02628076764567456,0.04676882711943281,1.2107219052667237,2.154581032051749,1.3409958560754978,0.8135851759762514,4.985066962242126,6.5158491134643555,47.0,5.222222222222333,9.29338182138582,12.500518798828125,0.2637240252917326,461.0567569668246,820.4891139234567,14692.54017526764,26146.605786665783,0.034634534355206116,0.06163505463232882,0.0019649665281706295,0.0034968225087827513,4.45279820810567,4.896077771095983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
