robot,condition,mirror_coeff,value_coeff,warmup_iterations,metric,sample_mean_unit,integral_unit,front_sample_mean,hind_sample_mean,front_integral,hind_integral,front_integral_per_s,hind_integral_per_s,front_integral_per_directed_m,hind_integral_per_directed_m,total_integral_per_directed_m,worst_pair_integral_per_directed_m,front_share_percent,signed_imbalance_percent,abs_imbalance_percent,dominant_pair,dominant_to_other_ratio,concentration_factor,bootstrap_ci_low_percent,bootstrap_ci_high_percent,abs_imbalance_change_vs_no_trs_pp,total_exposure_change_vs_no_trs_percent,total_per_directed_m_change_vs_no_trs_percent,worst_pair_per_directed_m_change_vs_no_trs_percent
go2,No TRS,0.0,0.0,,torque_squared,N^2 m^2,N^2 m^2 s,253.39800374276342,248.7233704512996,2280.582033684822,2238.5103340616483,253.3980037427634,248.72337045129956,450.94297051118355,442.6240690543153,893.5670395654989,450.94297051118355,50.46548837907636,0.9309767581527314,0.9309767581527314,front,1.0187945076611895,1.0093097675815275,-5.336888583683167,6.941234773074948,,,,
go2,No TRS,0.0,0.0,,normalized_torque_utilization,1,s,0.29093131284770046,0.2524871046316934,2.618381815629248,2.272383941685192,0.2909313128477004,0.2524871046316934,0.5177366375918309,0.4493219492524727,0.9670585868443036,0.5177366375918309,53.53725664970353,7.0745132994070525,7.0745132994070525,front,1.1522620661046676,1.0707451329940705,1.6753275284837406,12.403823161756405,,,,
go2,No TRS,0.0,0.0,,absolute_work,W,J,51.793017631876396,55.926685313743135,466.1371586868776,503.3401678236775,51.793017631876396,55.926685313743135,92.17001269815033,99.5262205452309,191.69623324338122,99.5262205452309,48.08128523899033,-3.8374295220193417,3.8374295220193417,hind,1.0798112925423107,1.0383742952201933,-6.848247145999754,-0.84189912811024,,,,
go2,No TRS,0.0,0.0,,positive_work,W,J,28.417081992676362,27.81190000560264,255.7537379340818,250.30710005041843,28.417081992676362,27.81190000560264,50.57057742272487,49.49360539090128,100.06418281362615,50.57057742272487,50.53814062211925,1.0762812442385046,1.0762812442385046,front,1.0217598217652089,1.010762812442385,-2.734542719780598,5.2730536764575335,,,,
go2,No TRS,0.0,0.0,,negative_work,W,J,23.375935639200033,28.114785308140497,210.38342075279581,253.0330677732591,23.375935639200033,28.114785308140497,41.59943527542546,50.03261515432962,91.63205042975507,50.03261515432962,45.398345972095754,-9.203308055808497,9.203308055808497,hind,1.2027234221587135,1.092033080558085,-12.313492025068886,-6.1832200291238895,,,,
go2,No TRS,0.0,0.0,,grf_impulse,N,N s,96.51793573524927,67.83448322021025,868.661421617225,610.5103489818792,96.51793573524928,67.83448322021025,171.7617503105677,120.71714423395977,292.4788945445274,171.7617503105677,58.726203331029886,17.452406662059783,17.452406662059783,front,1.422844711913324,1.1745240666205976,13.44148054433165,21.26740932620052,,,,
go2,No TRS,0.0,0.0,,vertical_grf_impulse,N,N s,94.64476883543863,66.25910557961137,851.8029195189295,596.3319502164896,94.64476883543863,66.25910557961137,168.42829292894865,117.91362777986123,286.34192070880994,168.42829292894865,58.820689793524394,17.641379587048792,17.641379587048792,front,1.4284039605955958,1.1764137958704879,13.63689923762993,21.48833049080299,,,,
go2,No TRS,0.0,0.0,,contact_time,feet,foot s,1.191111111111111,1.1844444444444444,10.719999999999771,10.659999999999773,1.191111111111111,1.1844444444444444,2.11968198138838,2.107818089701505,4.227500071089884,2.11968198138838,50.14031805425631,0.2806361085126286,0.2806361085126286,front,1.0056285178236397,1.0028063610851263,-3.2497678737233056,3.8862559241706163,,,,
go2,"0.10/0.05, w=10",0.1,0.05,10,torque_squared,N^2 m^2,N^2 m^2 s,273.2770583444467,208.4516561848477,2459.4935250999674,1876.0649056635896,273.27705834444663,208.45165618484774,483.11573544131625,368.51346319298375,851.6291986343001,483.11573544131625,56.72841375284645,13.456827505692909,13.456827505692909,front,1.3109853063585832,1.134568275056929,11.606343100267214,15.40107926556666,12.525850747540177,-4.061300855296213,-4.693306609831005,7.134552933303739
go2,"0.10/0.05, w=10",0.1,0.05,10,normalized_torque_utilization,1,s,0.3106479878689286,0.21337672161035343,2.7958318908202977,1.9203904944931398,0.3106479878689286,0.21337672161035343,0.5491823281173442,0.3772202921509446,0.9264026202682888,0.5491823281173442,59.281171717573464,18.562343435146914,18.562343435146914,front,1.4558663453279685,1.1856234343514693,16.579656026096874,20.639546740854186,11.487830135739863,-3.568835243028412,-4.204085163928173,6.073684619226105
