run,label,cell_id,gait_index,gait_name,family,direction,velocity_mps,metric,metric_label,unit,front,hind,signed_imbalance_percent,absolute_imbalance_percent,total_per_directed_m,planar_tracking_success,yaw_tracking_success,tracking_success
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,backward,-1.0,torque_squared,Torque²,N² m² s,3645.9899659213593,2534.05973432561,17.992253873804835,17.992253873804835,666.794168379582,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,backward,-1.0,absolute_work,Absolute work,J,1005.8206382069063,2229.688660803938,-37.8261321323104,37.8261321323104,349.0940747988037,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,backward,-1.0,vertical_grf_impulse,Vertical GRF impulse,N s,949.5527662723672,467.7227117939468,33.99692310600153,33.99692310600153,152.91641161465685,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,backward,-0.5,torque_squared,Torque²,N² m² s,3534.5057177645517,1952.45028059761,28.833025773109533,28.833025773109533,1258.562755008784,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,backward,-0.5,absolute_work,Absolute work,J,1006.2847234790569,1248.5504019685009,-10.744274636991792,10.744274636991792,517.1996109356344,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,backward,-0.5,vertical_grf_impulse,Vertical GRF impulse,N s,901.823731417656,467.7547594231367,31.693617773453905,31.693617773453905,314.14512511999,True,False,False
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,forward,0.5,torque_squared,Torque²,N² m² s,2618.520776627877,2929.389245059134,-5.603343731532403,5.603343731532403,1105.2769018114777,True,True,True
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,forward,0.5,absolute_work,Absolute work,J,1102.4778673485778,1191.0480049749626,-3.8617457380873423,3.8617457380873423,456.92542966214,True,True,True
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,forward,0.5,vertical_grf_impulse,Vertical GRF impulse,N s,708.8391754204035,723.0158013033987,-0.9900881104197017,0.9900881104197017,285.25989540749504,True,True,True
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_1p0__seed_0042,1,bound,bound,forward,1.0,torque_squared,Torque²,N² m² s,2331.02015443575,3073.2188222542395,-13.733638927142232,13.733638927142232,551.2041650561234,True,True,True
