run,label,velocity_mps,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,half_bound,torque_squared,Torque²,N² m² s,4,25.5149876442668,25.5149876442668,1112.8982637955119
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,gallop,torque_squared,Torque²,N² m² s,4,29.728173027372794,29.728173027372794,1052.093184424456
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,all_family_balanced,torque_squared,Torque²,N² m² s,10,25.964263848527864,25.964263848527864,975.3354992251016
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,trot,absolute_work,Absolute work,J,1,20.303099544731833,20.303099544731833,100.1869743048349
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,bound,absolute_work,Absolute work,J,1,-10.744274636991792,10.744274636991792,517.1996109356344
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,half_bound,absolute_work,Absolute work,J,4,-13.948135142730505,13.948135142730505,439.8747244374473
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,gallop,absolute_work,Absolute work,J,4,-1.451210361064272,17.088371353949167,426.4930785657524
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,all_family_balanced,absolute_work,Absolute work,J,10,-1.460130149013684,15.520970169600824,370.93859706091723
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,20.523530169352334,20.523530169352334,311.14558054137206
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,31.693617773453905,31.693617773453905,314.14512511999
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,29.472135265541453,29.472135265541453,307.13257469424855
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,24.042907717335268,24.042907717335268,310.1196537798182
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,-0.5,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,26.43304773142074,26.43304773142074,310.6357335338572
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,trot,torque_squared,Torque²,N² m² s,1,-20.01284042193388,20.01284042193388,459.54271026935726
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,bound,torque_squared,Torque²,N² m² s,1,-5.603343731532403,5.603343731532403,1105.2769018114777
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,half_bound,torque_squared,Torque²,N² m² s,4,-8.081618745685635,14.757434151554444,1009.6633465077239
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,gallop,torque_squared,Torque²,N² m² s,4,-2.476245210299223,8.226103478271627,920.445392356348
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,all_family_balanced,torque_squared,Torque²,N² m² s,10,-9.043512027362786,12.149930445823088,873.7320877362267
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,trot,absolute_work,Absolute work,J,1,-7.600694810098182,7.600694810098182,83.7531105400074
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,bound,absolute_work,Absolute work,J,1,-3.8617457380873423,3.8617457380873423,456.92542966214
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,half_bound,absolute_work,Absolute work,J,4,-7.337084494391741,24.18701928344472,365.0580495465755
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,gallop,absolute_work,Absolute work,J,4,-7.075972882494706,13.956592564656074,283.602857448084
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,all_family_balanced,absolute_work,Absolute work,J,10,-6.468874481267993,12.401513099071579,297.33486179920175
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,1,7.23505036012488,7.23505036012488,311.35350741629645
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,1,-0.9900881104197017,0.9900881104197017,285.25989540749504
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,4,0.3533977204977041,3.0875976852322697,294.1955556670399
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,4,3.7271528596770866,3.7271528596770866,298.40172094863414
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,0.5,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,10,2.5813782074699922,3.7599722538634848,297.3026698598664
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,trot,torque_squared,Torque²,N² m² s,1,-22.573438910826656,22.573438910826656,288.735080158633
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,bound,torque_squared,Torque²,N² m² s,1,-13.733638927142232,13.733638927142232,551.2041650561234
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,1.0,forward,half_bound,torque_squared,Torque²,N² m² s,4,-14.634824745623364,15.503886100286806,518.0818916044715
