cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_01_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,24,24,0,1.0,0.0,0.0,0.0,0.0
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,fl,fr,24,24,0,1.0,0.011666666666666667,0.02,0.030391216278076175,0.052099227905273444
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,24,24,0,1.0,0.008333333333333333,0.02,0.02170801162719727,0.052099227905273444
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.0,0.0,0.0,0.0
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.0006666666666666666,0.0,0.0021527608235677085,0.0
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,fl,fr,30,30,0,1.0,0.007333333333333332,0.02,0.023680369059244793,0.06458282470703125
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.006666666666666666,0.02,0.021527608235677082,0.06458282470703125
gait_02_half_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.007333333333333332,0.02,0.023680369059244793,0.06458282470703125
gait_02_half_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.006666666666666666,0.02,0.021527608235677082,0.06458282470703125
gait_02_half_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,24,24,0,1.0,0.01,0.04,0.026049613952636722,0.10419845581054689
gait_02_half_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,24,24,0,1.0,0.005833333333333334,0.02,0.015195608139038088,0.052099227905273444
gait_02_half_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,19,11,8,0.5789473684210527,0.09818181818181819,0.46,0.20632136951793323,0.9666538238525391
gait_02_half_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,19,19,0,1.0,0.011578947368421053,0.02,0.02433224728232936,0.04202842712402344
gait_02_half_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,19,11,8,0.5789473684210527,0.060000000000000005,0.24000000000000002,0.1260852813720703,0.5043411254882812
gait_02_half_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,19,19,0,1.0,0.03894736842105264,0.04199999999999996,0.08184483176783512,0.08825969696044914
gait_02_half_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,24,24,0,1.0,0.015833333333333335,0.02,0.04124522209167481,0.052099227905273444
gait_02_half_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,24,24,0,1.0,0.025833333333333337,0.04,0.06729483604431154,0.10419845581054689
gait_02_half_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.010666666666666668,0.02,0.034444173177083336,0.06458282470703125
gait_02_half_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.017333333333333336,0.02,0.055971781412760414,0.06458282470703125
gait_03_half_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.007333333333333333,0.02,0.023680369059244793,0.06458282470703125
gait_03_half_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.01466666666666667,0.02,0.047360738118489586,0.06458282470703125
gait_03_half_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,24,24,0,1.0,0.014166666666666666,0.02,0.03690361976623536,0.052099227905273444
gait_03_half_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,24,24,0,1.0,0.016666666666666666,0.02,0.04341602325439454,0.052099227905273444
gait_03_half_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,19,17,2,0.8947368421052632,0.009411764705882354,0.02,0.01977808335248162,0.04202842712402344
gait_03_half_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,19,19,0,1.0,0.020000000000000004,0.02,0.04202842712402344,0.04202842712402344
gait_03_half_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,19,19,0,1.0,0.002105263157894737,0.02,0.00442404496042352,0.04202842712402344
gait_03_half_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,19,19,0,1.0,0.01473684210526316,0.02,0.03096831472296464,0.04202842712402344
gait_03_half_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,24,20,4,0.8333333333333334,0.004,0.02,0.01041984558105469,0.052099227905273444
gait_03_half_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,24,24,0,1.0,0.0025,0.02,0.0065124034881591806,0.052099227905273444
gait_03_half_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.004666666666666667,0.02,0.015069325764973959,0.06458282470703125
gait_03_half_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.006666666666666665,0.02,0.021527608235677082,0.06458282470703125
gait_04_half_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.008,0.02,0.0258331298828125,0.06458282470703125
gait_04_half_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,30,13,17,0.43333333333333335,0.02153846153846154,0.11199999999999961,0.06955073429987982,0.3616638183593738
gait_04_half_bound__vx_neg_1p0__seed_0042,touchdown,fl,fr,24,24,0,1.0,0.0075,0.02,0.019537210464477543,0.052099227905273444
gait_04_half_bound__vx_neg_1p0__seed_0042,liftoff,fl,fr,24,24,0,1.0,0.0,0.0,0.0,0.0
gait_04_half_bound__vx_neg_0p5__seed_0042,touchdown,fl,fr,19,19,0,1.0,0.01368421052631579,0.02,0.02875629224275288,0.04202842712402344
gait_04_half_bound__vx_neg_0p5__seed_0042,liftoff,fl,fr,19,19,0,1.0,0.002105263157894737,0.02,0.00442404496042352,0.04202842712402344
gait_04_half_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,19,19,0,1.0,0.016842105263157898,0.04,0.03539235968338816,0.08405685424804688
gait_04_half_bound__vx_pos_0p5__seed_0042,liftoff,fl,fr,19,11,8,0.5789473684210527,0.019999999999999997,0.02,0.04202842712402344,0.04202842712402344
gait_04_half_bound__vx_pos_1p0__seed_0042,touchdown,fl,fr,24,24,0,1.0,0.0175,0.02,0.045586824417114265,0.052099227905273444
gait_04_half_bound__vx_pos_1p0__seed_0042,liftoff,fl,fr,24,24,0,1.0,0.020833333333333332,0.02,0.05427002906799317,0.052099227905273444
gait_04_half_bound__vx_pos_1p5__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.01266666666666667,0.02,0.04090245564778646,0.06458282470703125
gait_04_half_bound__vx_pos_1p5__seed_0042,liftoff,fl,fr,30,30,0,1.0,0.016000000000000004,0.02,0.051666259765625,0.06458282470703125
gait_05_half_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.009333333333333334,0.02,0.030138651529947918,0.06458282470703125
gait_05_half_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,30,7,23,0.23333333333333334,0.20571428571428574,0.3,0.6642804827008929,0.9687423706054688
gait_05_half_bound__vx_neg_1p0__seed_0042,touchdown,fl,fr,24,24,0,1.0,0.006666666666666667,0.02,0.017366409301757816,0.052099227905273444
gait_05_half_bound__vx_neg_1p0__seed_0042,liftoff,fl,fr,24,13,11,0.5416666666666666,0.08307692307692308,0.36,0.21641217745267427,0.9377861022949219
gait_05_half_bound__vx_neg_0p5__seed_0042,touchdown,fl,fr,19,19,0,1.0,0.0010526315789473684,0.0019999999999999575,0.00221202248021176,0.004202842712402254
gait_05_half_bound__vx_neg_0p5__seed_0042,liftoff,fl,fr,19,11,8,0.5789473684210527,0.09818181818181819,0.46,0.20632136951793323,0.9666538238525391
gait_05_half_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,19,19,0,1.0,0.010526315789473684,0.02,0.0221202248021176,0.04202842712402344
gait_05_half_bound__vx_pos_0p5__seed_0042,liftoff,fl,fr,19,19,0,1.0,0.005263157894736842,0.02,0.0110601124010588,0.04202842712402344
gait_05_half_bound__vx_pos_1p0__seed_0042,touchdown,fl,fr,24,24,0,1.0,0.015,0.02,0.039074420928955085,0.052099227905273444
gait_05_half_bound__vx_pos_1p0__seed_0042,liftoff,fl,fr,24,24,0,1.0,0.005833333333333334,0.02,0.015195608139038088,0.052099227905273444
gait_05_half_bound__vx_pos_1p5__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.012000000000000004,0.02,0.03874969482421875,0.06458282470703125
gait_05_half_bound__vx_pos_1p5__seed_0042,liftoff,fl,fr,30,30,0,1.0,0.004666666666666667,0.02,0.015069325764973959,0.06458282470703125
