cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,vx_relative_tracking_success_threshold,vx_relative_tracking_success,planar_tracking_success,yaw_tracking_success,tracking_success,velocity_metric_valid,velocity_metric_reason,heading_metric_valid,heading_metric_reason,recording_manifest_valid,recording_manifest_reason,gait_metric_valid,gait_metric_reason,load_metric_valid,load_metric_reason,raw_load_metric_valid,raw_load_metric_reason,grf_load_metric_valid,grf_load_metric_reason,normalized_load_metric_valid,normalized_load_metric_reason,velocity_success_domain_valid,gait_success_domain_valid,joint_success_domain_valid,velocity_only_success,gait_only_success,joint_velocity_and_gait_success,gait_row_correct,gait_family_correct,gait_classification_available,success,success_failed_checks,relative_output_dir
gait_07_gallop__vx_neg_1p5__seed_0042,7,gallop,-1.5,42,valid,,True,0.07231043530754333,0.08033533932434107,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_07_gallop/vx_neg_1p5/seed_0042
gait_07_gallop__vx_neg_1p0__seed_0042,7,gallop,-1.0,42,valid,,True,0.0592044922084758,0.037621251090779656,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_07_gallop/vx_neg_1p0/seed_0042
gait_07_gallop__vx_neg_0p5__seed_0042,7,gallop,-0.5,42,valid,,True,0.07255466136450757,0.07651296410335227,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_07_gallop/vx_neg_0p5/seed_0042
gait_07_gallop__vx_pos_0p5__seed_0042,7,gallop,0.5,42,valid,,True,0.05764962058755035,0.06238283764291236,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_07_gallop/vx_pos_0p5/seed_0042
gait_07_gallop__vx_pos_1p0__seed_0042,7,gallop,1.0,42,valid,,True,0.04728925199216464,0.048844471035008934,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,True,True,True,True,True,True,[],cells/gait_07_gallop/vx_pos_1p0/seed_0042
gait_07_gallop__vx_pos_1p5__seed_0042,7,gallop,1.5,42,valid,,True,0.03831533489965727,0.0715653400370089,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_07_gallop/vx_pos_1p5/seed_0042
gait_08_gallop__vx_neg_1p5__seed_0042,8,gallop,-1.5,42,valid,,True,0.0710149093388748,0.10552962173641227,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_08_gallop/vx_neg_1p5/seed_0042
gait_08_gallop__vx_neg_1p0__seed_0042,8,gallop,-1.0,42,valid,,True,0.07902069655897721,0.12536320121498196,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_08_gallop/vx_neg_1p0/seed_0042
gait_08_gallop__vx_neg_0p5__seed_0042,8,gallop,-0.5,42,valid,,True,0.08114780236726084,0.1237846710714795,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_08_gallop/vx_neg_0p5/seed_0042
gait_08_gallop__vx_pos_0p5__seed_0042,8,gallop,0.5,42,valid,,True,0.08418989347192005,0.06777768059356495,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_08_gallop/vx_pos_0p5/seed_0042
gait_08_gallop__vx_pos_1p0__seed_0042,8,gallop,1.0,42,valid,,True,0.07157402171004444,0.04419338644692769,0.3,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,False,False,False,False,True,False,"[""correct_family""]",cells/gait_08_gallop/vx_pos_1p0/seed_0042
gait_08_gallop__vx_pos_1p5__seed_0042,8,gallop,1.5,42,valid,,True,0.0524979628110752,0.04677333940231604,0.425,0.05,0.2,True,True,True,True,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,True,False,False,False,False,True,False,"[""gait_agreement"",""correct_family""]",cells/gait_08_gallop/vx_pos_1p5/seed_0042
gait_09_gallop__vx_neg_1p5__seed_0042,9,gallop,-1.5,42,valid,,True,0.05090169114599867,0.07279835506069825,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_09_gallop/vx_neg_1p5/seed_0042
gait_09_gallop__vx_neg_1p0__seed_0042,9,gallop,-1.0,42,valid,,True,0.05176622563676135,0.06280498380792993,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_09_gallop/vx_neg_1p0/seed_0042
gait_09_gallop__vx_neg_0p5__seed_0042,9,gallop,-0.5,42,valid,,True,0.05395513523692325,0.0562456378539861,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_09_gallop/vx_neg_0p5/seed_0042
gait_09_gallop__vx_pos_0p5__seed_0042,9,gallop,0.5,42,valid,,True,0.04667964550607654,0.0789873143119917,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_09_gallop/vx_pos_0p5/seed_0042
gait_09_gallop__vx_pos_1p0__seed_0042,9,gallop,1.0,42,valid,,True,0.030459667567772287,0.05558564797689031,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_09_gallop/vx_pos_1p0/seed_0042
gait_09_gallop__vx_pos_1p5__seed_0042,9,gallop,1.5,42,valid,,True,0.026683256807470065,0.0523915711180434,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_09_gallop/vx_pos_1p5/seed_0042
