run,label,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-16_go2_72d_no_trs_gait_trclosed_v2,No TRS,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,-1.848367181804225,4.304090513130448,184.5743144256963
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,trot,torque_squared,Torque²,N² m² s,3,24.958535326616516,24.958535326616516,410.5770743978862
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,bound,torque_squared,Torque²,N² m² s,3,4.691567569763577,10.300053097040939,818.8834565922831
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,half_bound,torque_squared,Torque²,N² m² s,12,6.39792076953902,11.597747789287418,796.3670971705219
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,gallop,torque_squared,Torque²,N² m² s,12,8.952021806750992,13.521282547773753,697.3279640985406
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,all_family_balanced,torque_squared,Torque²,N² m² s,30,11.250011368167526,15.094404690179656,680.788898064808
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,trot,absolute_work,Absolute work,J,3,-9.826920409487734,11.095409379243682,197.14482727729742
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,bound,absolute_work,Absolute work,J,3,-41.080458985709626,41.080458985709626,539.915463537263
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,half_bound,absolute_work,Absolute work,J,12,-36.62630328303732,36.62630328303732,510.6407896780509
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,gallop,absolute_work,Absolute work,J,12,-31.556059672688324,31.556059672688324,451.87097902189936
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,all_family_balanced,absolute_work,Absolute work,J,30,-29.77243558773075,30.08955783016974,424.8930148786277
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,30.323095109825122,30.323095109825122,184.16397935545092
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,50.477117952552966,50.477117952552966,174.64547956102555
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,47.2618530610629,47.2618530610629,175.51526950256297
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,40.825359646440155,40.825359646440155,178.79810582875373
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,42.22185644247028,42.22185644247028,178.2807085619483
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,trot,torque_squared,Torque²,N² m² s,3,10.264484491055716,10.264484491055716,329.4986681161004
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,bound,torque_squared,Torque²,N² m² s,3,-14.049766347993163,14.049766347993163,727.3303837796883
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,half_bound,torque_squared,Torque²,N² m² s,12,-7.752512411207903,13.237565408963135,569.8607258100596
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,gallop,torque_squared,Torque²,N² m² s,12,2.3417289151598584,14.774349353848892,504.43805438321675
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,all_family_balanced,torque_squared,Torque²,N² m² s,30,-2.2990163382463726,13.081541400465227,532.7819580222663
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,trot,absolute_work,Absolute work,J,3,9.101686928427732,9.101686928427732,106.3587773184263
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,bound,absolute_work,Absolute work,J,3,-1.3569568138643973,17.56128300912415,347.92376542437
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,half_bound,absolute_work,Absolute work,J,12,-8.387057118763556,17.253409485829753,275.9360557498471
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,gallop,absolute_work,Absolute work,J,12,-2.6559397265773033,12.024612904030704,225.0435424007197
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,all_family_balanced,absolute_work,Absolute work,J,30,-0.8245666826943812,13.985248081853085,238.8155352233408
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,6.093279200615883,8.479195511480912,189.0433956327223
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,-12.743184391925249,12.743184391925249,194.26799419797862
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,-5.455078250280569,10.500496653004667,189.84504782033312
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,-1.0437347866398101,7.621711694279429,188.78584445284721
2026-08-21_10-22-39_go2_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,"TRS m0.1/v0.05, w500/r0",forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,-3.2871795570574363,9.836147062672564,190.48557052597033
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,trot,torque_squared,Torque²,N² m² s,3,25.888951438840895,25.888951438840895,410.33458315784947
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,bound,torque_squared,Torque²,N² m² s,3,29.631587293150844,29.631587293150844,786.1393701338949
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,half_bound,torque_squared,Torque²,N² m² s,12,29.72209477874,29.72209477874,781.2094637205623
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,gallop,torque_squared,Torque²,N² m² s,12,29.1240620136993,29.1240620136993,733.9551426716429
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,all_family_balanced,torque_squared,Torque²,N² m² s,30,28.59167388110776,28.59167388110776,677.9096399209874
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,trot,absolute_work,Absolute work,J,3,-9.88286134392845,9.88286134392845,205.11694960146653
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,bound,absolute_work,Absolute work,J,3,-1.1281568892284406,2.722772695380902,398.0175437248427
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,half_bound,absolute_work,Absolute work,J,12,2.4457415958533093,3.8226693399774647,406.08655695584304
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,gallop,absolute_work,Absolute work,J,12,2.0021685993436917,5.724876541321627,391.0753204240589
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,all_family_balanced,absolute_work,Absolute work,J,30,-1.6407770094899725,5.538294980152111,350.07409267655277
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,30.381087679348145,30.381087679348145,184.58586995507957
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,27.633550318330183,27.633550318330183,183.99165100576363
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,29.85214346254916,29.85214346254916,183.10495830507082
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,31.656077986136182,31.656077986136182,179.8257254893396
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,29.880714861590917,29.880714861590917,182.8770511888134
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,trot,torque_squared,Torque²,N² m² s,3,7.8666311434659875,7.8666311434659875,395.04543215135396
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,bound,torque_squared,Torque²,N² m² s,3,-11.646372288570674,11.646372288570674,613.3118340092487
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,half_bound,torque_squared,Torque²,N² m² s,12,-12.472972019830166,12.84380818652996,546.1590928891732
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,gallop,torque_squared,Torque²,N² m² s,12,-3.4019035558888304,10.135843927022746,492.31752356484594
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,all_family_balanced,torque_squared,Torque²,N² m² s,30,-4.913654180205921,10.623163886397343,511.70847065365547
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,trot,absolute_work,Absolute work,J,3,6.259796798914081,6.259796798914081,140.00419876022082
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,bound,absolute_work,Absolute work,J,3,-15.50327560668122,15.50327560668122,299.82865284911895
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,half_bound,absolute_work,Absolute work,J,12,-19.606145487087463,19.606145487087463,242.6474256668404
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,gallop,absolute_work,Absolute work,J,12,-12.045169305945386,13.443425211649192,218.62292816059002
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,all_family_balanced,absolute_work,Absolute work,J,30,-10.223698400199996,13.703160776082989,225.27580135919254
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,2.149711668495314,3.1752482836057467,195.54137332572796
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,-3.8838981433469573,3.8838981433469573,175.96217776038347
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,-0.9380748010951129,6.21926136195881,181.2442074742879
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,1.6099076280828573,5.123560527872725,186.33938091819564
2026-08-21_22-50-01_go2_72d_trs_m0p2_v0p1_w500_r0_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r0",forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,-0.2655884119659747,4.6004920791960595,184.77178486964874
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,trot,torque_squared,Torque²,N² m² s,3,24.605484078240945,24.605484078240945,324.3939340138738
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,bound,torque_squared,Torque²,N² m² s,3,34.73566580369253,34.73566580369253,696.5037280501982
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,half_bound,torque_squared,Torque²,N² m² s,12,35.04061179402712,35.04061179402712,683.5813056381684
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,gallop,torque_squared,Torque²,N² m² s,12,35.22087143534679,35.22087143534679,670.4505270002844
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,all_family_balanced,torque_squared,Torque²,N² m² s,30,32.40065827782684,32.40065827782684,593.7323736756312
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,trot,absolute_work,Absolute work,J,3,2.584545707278797,3.7756178962040536,126.68133441630677
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,bound,absolute_work,Absolute work,J,3,3.8658047232484147,3.8658047232484147,309.9607452095699
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,half_bound,absolute_work,Absolute work,J,12,2.615123544544655,9.76641652439101,322.49500054394605
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,gallop,absolute_work,Absolute work,J,12,0.9688466504113787,14.748655411054154,327.2144541610848
2026-08-22_10-35-19_go2_72d_trs_m0p2_v0p1_w500_r1000_linear_gait_trclosed_v2,"TRS m0.2/v0.1, w500/r1000",backward,all_family_balanced,absolute_work,Absolute work,J,30,2.508580156370811,8.039123638724408,271.5878835827269
