cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.019130434782608702,0.02,0.04751885455587636,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,23,23,0,1.0,0.014782608695652177,0.02,0.03671911488408628,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,10,13,0.43478260869565216,0.378,0.38,0.9389293670654297,0.9438972473144531
gait_01_bound__vx_pos_0p5__seed_0042,liftoff,fl,fr,23,15,8,0.6521739130434783,0.16133333333333333,0.38,0.4007423400878906,0.9438972473144531
gait_01_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,23,10,13,0.43478260869565216,0.041999999999999996,0.06,0.10432548522949218,0.14903640747070312
gait_01_bound__vx_pos_1p0__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.023333333333333338,0.04,0.07413164774576823,0.12708282470703125
gait_01_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,30,22,8,0.7333333333333333,0.019090909090909096,0.02,0.06065316633744673,0.06354141235351562
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,fl,fr,30,30,0,1.0,0.03133333333333334,0.04,0.09954821268717448,0.12708282470703125
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.011333333333333334,0.04,0.036006800333658856,0.12708282470703125
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.025789473684210532,0.04,0.1047958072863127,0.16254043579101562
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,38,36,2,0.9473684210526315,0.019444444444444448,0.02,0.07901271184285481,0.08127021789550781
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.028947368421052635,0.04,0.11762794695402447,0.16254043579101562
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,38,36,2,0.9473684210526315,0.013888888888888892,0.02,0.05643765131632487,0.08127021789550781
gait_02_half_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,36,2,0.9473684210526315,0.0022222222222222222,0.02,0.009030024210611979,0.08127021789550781
gait_02_half_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,36,2,0.9473684210526315,0.006111111111111111,0.025,0.02483256657918294,0.10158777236938477
gait_02_half_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.006,0.02,0.01906242370605469,0.06354141235351562
gait_02_half_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.026000000000000006,0.04,0.08260383605957031,0.12708282470703125
gait_02_half_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,23,23,0,1.0,0.012173913043478259,0.02,0.03023927108101223,0.049678802490234375
gait_02_half_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.020000000000000004,0.02,0.049678802490234375,0.049678802490234375
gait_02_half_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,0,23,0.0,,,,
gait_02_half_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,23,0,23,0.0,,,,
gait_02_half_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,30,14,16,0.4666666666666667,0.015714285714285712,0.02,0.04992539542061942,0.06354141235351562
gait_02_half_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,30,22,8,0.7333333333333333,0.004545454545454546,0.02,0.01444123008034446,0.06354141235351562
gait_02_half_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,38,38,0,1.0,0.020526315789473684,0.02,0.08340890784012644,0.08127021789550781
gait_02_half_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,38,38,0,1.0,0.021578947368421055,0.04,0.0876862877293637,0.16254043579101562
