cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,20,3,0.8695652173913043,0.006,0.02,0.014903640747070313,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,23,23,0,1.0,0.006086956521739131,0.02,0.015119635540506115,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,16,7,0.6956521739130435,0.07125000000000001,0.38,0.17698073387145996,0.9438972473144531
gait_01_bound__vx_pos_0p5__seed_0042,liftoff,fl,fr,23,17,6,0.7391304347826086,0.049411764705882356,0.38,0.12273586497587316,0.9438972473144531
gait_01_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.006086956521739131,0.02,0.015119635540506115,0.049678802490234375
gait_01_bound__vx_pos_1p0__seed_0042,touchdown,fl,fr,30,28,2,0.9333333333333333,0.009285714285714286,0.02,0.029501370021275113,0.06354141235351562
gait_01_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.0013333333333333333,0.010999999999999944,0.004236094156901042,0.034947776794433415
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,fl,fr,30,28,2,0.9333333333333333,0.007857142857142856,0.02,0.02496269771030971,0.06354141235351562
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.012666666666666668,0.02,0.04024289449055989,0.06354141235351562
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.01105263157894737,0.02,0.04491248883699116,0.08127021789550781
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,38,36,2,0.9473684210526315,0.0016666666666666666,0.02,0.006772518157958984,0.08127021789550781
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.006842105263157895,0.02,0.027802969280042146,0.08127021789550781
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,38,36,2,0.9473684210526315,0.0044444444444444444,0.02,0.018060048421223957,0.08127021789550781
gait_02_half_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,31,7,0.8157894736842105,0.007096774193548387,0.02,0.028837819253244707,0.08127021789550781
gait_02_half_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,31,7,0.8157894736842105,0.011612903225806454,0.02,0.0471891587780368,0.08127021789550781
gait_02_half_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.010666666666666668,0.02,0.033888753255208334,0.06354141235351562
gait_02_half_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.015333333333333334,0.030999999999999944,0.04871508280436198,0.09848918914794905
gait_02_half_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,23,11,12,0.4782608695652174,0.21636363636363634,0.38,0.5374343178488992,0.9438972473144531
gait_02_half_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,17,6,0.7391304347826086,0.01647058823529412,0.02,0.04091195499195772,0.049678802490234375
gait_02_half_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,8,15,0.34782608695652173,0.225,0.38,0.5588865280151367,0.9438972473144531
gait_02_half_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,23,13,10,0.5652173913043478,0.012307692307692308,0.02,0.030571570763221152,0.049678802490234375
gait_02_half_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,30,26,4,0.8666666666666667,0.006923076923076922,0.02,0.021995104276216947,0.06354141235351562
gait_02_half_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.004,0.02,0.012708282470703125,0.06354141235351562
gait_02_half_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,38,33,5,0.868421052631579,0.004242424242424243,0.02,0.017239137129350143,0.08127021789550781
gait_02_half_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,38,33,5,0.868421052631579,0.012727272727272728,0.04,0.05171741138805042,0.16254043579101562
gait_03_half_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,31,7,0.8157894736842105,0.007096774193548387,0.02,0.028837819253244707,0.08127021789550781
gait_03_half_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,31,7,0.8157894736842105,0.003870967741935484,0.02,0.01572971959267893,0.08127021789550781
gait_03_half_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,30,26,4,0.8666666666666667,0.006923076923076922,0.02,0.021995104276216947,0.06354141235351562
gait_03_half_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,30,26,4,0.8666666666666667,0.006923076923076922,0.02,0.021995104276216947,0.06354141235351562
gait_03_half_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,23,12,11,0.5217391304347826,0.036666666666666674,0.18199999999999972,0.09107780456542969,0.45207710266113216
gait_03_half_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,15,8,0.6521739130434783,0.020000000000000004,0.04599999999999998,0.049678802490234375,0.11426124572753901
gait_03_half_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,15,8,0.6521739130434783,0.025333333333333333,0.1139999999999996,0.06292648315429687,0.2831691741943349
gait_03_half_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.006086956521739131,0.02,0.015119635540506115,0.049678802490234375
gait_03_half_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,30,24,6,0.8,0.0075,0.02,0.02382802963256836,0.06354141235351562
gait_03_half_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.007999999999999998,0.02,0.02541656494140625,0.06354141235351562
gait_03_half_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,38,38,0,1.0,0.00736842105263158,0.02,0.02994165922466077,0.08127021789550781
gait_03_half_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,38,38,0,1.0,0.008421052631578949,0.02,0.03421903911389803,0.08127021789550781
gait_04_half_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.008421052631578949,0.02,0.03421903911389803,0.08127021789550781
gait_04_half_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.016315789473684214,0.02,0.06629938828317743,0.08127021789550781
gait_04_half_bound__vx_neg_1p0__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.010000000000000002,0.02,0.03177070617675781,0.06354141235351562
gait_04_half_bound__vx_neg_1p0__seed_0042,liftoff,fl,fr,30,30,0,1.0,0.015333333333333336,0.02,0.04871508280436198,0.06354141235351562
gait_04_half_bound__vx_neg_0p5__seed_0042,touchdown,fl,fr,23,23,0,1.0,0.019130434782608702,0.02,0.04751885455587636,0.049678802490234375
gait_04_half_bound__vx_neg_0p5__seed_0042,liftoff,fl,fr,23,17,6,0.7391304347826086,0.027058823529411764,0.09199999999999975,0.06721249748678769,0.2285224914550775
gait_04_half_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,23,22,1,0.9565217391304348,0.020000000000000004,0.02,0.049678802490234375,0.049678802490234375
gait_04_half_bound__vx_pos_0p5__seed_0042,liftoff,fl,fr,23,15,8,0.6521739130434783,0.18266666666666664,0.38,0.4537330627441406,0.9438972473144531
gait_04_half_bound__vx_pos_1p0__seed_0042,touchdown,fl,fr,30,30,0,1.0,0.016000000000000004,0.02,0.0508331298828125,0.06354141235351562
gait_04_half_bound__vx_pos_1p0__seed_0042,liftoff,fl,fr,30,28,2,0.9333333333333333,0.027857142857142858,0.04,0.08850411006382533,0.12708282470703125
gait_04_half_bound__vx_pos_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.016315789473684214,0.02,0.06629938828317743,0.08127021789550781
gait_04_half_bound__vx_pos_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.007894736842105265,0.02,0.0320803491692794,0.08127021789550781
gait_05_half_bound__vx_neg_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.002105263157894737,0.02,0.008554759778474507,0.08127021789550781
gait_05_half_bound__vx_neg_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.018421052631578953,0.02,0.07485414806165193,0.08127021789550781
