cell_id,planned_row,planned_family,classified_row,classified_family,classification_score_cycles,classification_margin_cycles,classification_domain_valid,classification_domain_reason
gait_06_gallop__vx_pos_0p5__seed_4242,gallop_a,gallop,half_bound_hind_a,half_bound,0.06930447809902067,0.010200093232429208,True,
gait_06_gallop__vx_pos_1p0__seed_4242,gallop_a,gallop,gallop_a,gallop,0.06536470222131306,0.020044834733085173,True,
gait_06_gallop__vx_pos_1p5__seed_4242,gallop_a,gallop,gallop_a,gallop,0.06601101865279281,0.03047571101438322,True,
gait_07_gallop__vx_neg_1p5__seed_4242,gallop_b,gallop,gallop_b,gallop,0.024302526649955126,0.1031940184919629,True,
gait_07_gallop__vx_neg_1p0__seed_4242,gallop_b,gallop,gallop_b,gallop,0.026990138519399475,0.10328714609246399,True,
gait_07_gallop__vx_neg_0p5__seed_4242,gallop_b,gallop,gallop_b,gallop,0.025715598277776808,0.11267444765269133,True,
gait_07_gallop__vx_pos_0p5__seed_4242,gallop_b,gallop,gallop_b,gallop,0.015147133228633128,0.10914961188817521,True,
gait_07_gallop__vx_pos_1p0__seed_4242,gallop_b,gallop,gallop_b,gallop,0.022914720452139065,0.08643238602010808,True,
gait_07_gallop__vx_pos_1p5__seed_4242,gallop_b,gallop,gallop_b,gallop,0.03590153277268343,0.06637850964573667,True,
gait_08_gallop__vx_neg_1p5__seed_4242,gallop_c,gallop,unclassified,unclassified,0.0762153132118714,0.0054392910580936815,True,
gait_08_gallop__vx_neg_1p0__seed_4242,gallop_c,gallop,half_bound_hind_b,half_bound,0.06629736409741861,0.013298122253049938,True,
gait_08_gallop__vx_neg_0p5__seed_4242,gallop_c,gallop,half_bound_hind_b,half_bound,0.07763962097616643,0.015220266134177221,True,
gait_08_gallop__vx_pos_0p5__seed_4242,gallop_c,gallop,half_bound_hind_b,half_bound,0.05424132738582211,0.033322111076216736,True,
gait_08_gallop__vx_pos_1p0__seed_4242,gallop_c,gallop,unclassified,unclassified,0.07255759227337837,0.002880071830551542,True,
gait_08_gallop__vx_pos_1p5__seed_4242,gallop_c,gallop,gallop_c,gallop,0.06450432012832134,0.029705652208613015,True,
gait_09_gallop__vx_neg_1p5__seed_4242,gallop_d,gallop,gallop_d,gallop,0.02647501974890708,0.0914753214147791,True,
gait_09_gallop__vx_neg_1p0__seed_4242,gallop_d,gallop,gallop_d,gallop,0.011871638286792727,0.10756871631637685,True,
gait_09_gallop__vx_neg_0p5__seed_4242,gallop_d,gallop,gallop_d,gallop,0.015719191495360735,0.11287134279470241,True,
gait_09_gallop__vx_pos_0p5__seed_4242,gallop_d,gallop,gallop_d,gallop,0.016118271724940014,0.09906090435260169,True,
gait_09_gallop__vx_pos_1p0__seed_4242,gallop_d,gallop,gallop_d,gallop,0.018311488412082577,0.10302542998151103,True,
gait_09_gallop__vx_pos_1p5__seed_4242,gallop_d,gallop,gallop_d,gallop,0.03461166555107851,0.07333417341076282,True,
