window,command_x_mps,run,label,metric,unit,front,hind,front_per_directed_m,hind_per_directed_m,front_share_percent,signed_imbalance_percent,absolute_imbalance_percent,bootstrap_95_low_percent,bootstrap_95_high_percent
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,torque_squared,N^2 m^2 s,1135.4033379876962,783.7267178760072,231.8669735658807,160.04915266384378,59.16239675985421,18.32479351970844,18.32479351970844,16.436207328206923,20.284815363150127
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,normalized_torque_utilization,s,2.873050256438521,1.165492315001661,0.5867214280378452,0.23801160940100713,71.1407693645771,42.28153872915419,42.28153872915419,40.46840409670558,43.98558799250506
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,absolute_work,J,293.4317877116469,296.86021924258466,59.92332265405304,60.623461553208706,49.70959868247009,-0.5808026350598317,0.5808026350598317,-1.9449108160543385,0.7697930788202981
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,positive_work,J,143.59203409442256,149.12050479664936,29.32372070761281,30.452720180562096,49.055648466039216,-1.8887030679215708,1.8887030679215708,-7.040906101767237,2.9697215831552803
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,negative_work,J,149.83975361722435,147.7397144459353,30.599601946440224,30.170741372646606,50.352853505814345,0.705707011628683,0.705707011628683,-3.822061242429328,5.664428836034541
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,vertical_grf_impulse,N s,921.9195100740892,808.6989377503448,188.27026442521782,165.14886732184942,53.27110150900316,6.542203018006324,6.542203018006324,4.269501790149292,8.838614671257474
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,contact_time,leg s,9.659999999999794,9.199999999999804,,,51.21951219512195,2.4390243902439024,2.4390243902439024,-0.944386149003148,5.781584582441114
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,fatigue_proxy_m3,1,5.744463610695341,1.3068482199442624,1.1731085752591772,0.26687867784982516,81.46659442480333,62.933188849606665,62.933188849606665,,
backward,-0.5665580034255981,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,fatigue_proxy_m5,1,1.5192067599218697,0.09415544700305674,0.3102455857389144,0.019228002781843164,94.16402301982036,88.32804603964074,88.32804603964074,,
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,torque_squared,N^2 m^2 s,993.763082740072,898.4534432835902,201.23028637450733,181.9307305999089,52.51846546485796,5.036930929715915,5.036930929715915,2.063770147485972,7.728917196421925
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,normalized_torque_utilization,s,2.4210064834914897,1.5852460455245514,0.4902373980770604,0.3210015759846837,60.43070090956306,20.86140181912611,20.86140181912611,18.414338322556397,23.12978138735874
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,absolute_work,J,276.9406368521952,226.99416061823587,56.07860125860811,45.964778466716346,54.95564867564935,9.91129735129871,9.91129735129871,8.504236944699677,11.144539664707604
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,positive_work,J,143.6947500899677,107.92817640207943,29.09721261871492,21.854723950285283,57.107177034009005,14.21435406801801,14.21435406801801,8.563123813581496,19.784422385573993
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,negative_work,J,133.2458867622275,119.06598421615644,26.981388639893193,24.110054516431063,52.80999512450327,5.619990249006519,5.619990249006519,0.9867985217900914,10.13457606872269
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,vertical_grf_impulse,N s,866.9960836950602,822.7472127107728,175.56082856940506,166.6007322098528,51.30933707736573,2.6186741547314876,2.6186741547314876,-0.09672542071073502,5.398799840035581
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,contact_time,leg s,9.899999999999789,9.559999999999796,,,50.873586844809864,1.7471736896197327,1.7471736896197327,-1.8442622950819672,5.327868852459017
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,fatigue_proxy_m3,1,5.3856311386579065,1.328658036341081,1.0905537900959237,0.2690442438347636,80.21148625399678,60.42297250799355,60.42297250799355,,
backward,-0.5665580034255981,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,fatigue_proxy_m5,1,1.4761312181210835,0.09338886520029499,0.2989065632523101,0.018910612010892155,94.04984579727913,88.09969159455828,88.09969159455828,,
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,torque_squared,N^2 m^2 s,955.5274574573698,930.5060018570487,193.8274309659469,188.75186310006467,50.66333541106467,1.3266708221293444,1.3266708221293444,-2.0718013524435954,4.875705576819948
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,normalized_torque_utilization,s,1.8491837886876894,1.15024404050555,0.3751043890449396,0.23332542211643145,61.65121796529664,23.302435930593276,23.302435930593276,20.138309027535165,26.411178355716295
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,absolute_work,J,345.68467652564885,361.62260412468095,70.12166134247396,73.35464804247098,48.873337795676434,-2.25332440864712,2.25332440864712,-3.805706137043927,-0.7712600142037829
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,positive_work,J,171.8506196762748,192.32180278290642,34.85966191949478,39.01221326631877,47.18935566724218,-5.621288665515631,5.621288665515631,-12.253142418102595,0.9424073228038328
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,negative_work,J,173.8340568493741,169.30080134177453,35.26199942297919,34.342434776152224,50.66056470209655,1.3211294041931063,1.3211294041931063,-4.254044879468754,7.316759932918153
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,vertical_grf_impulse,N s,866.6983612120347,812.2698924858018,175.80857092599007,164.76783087997546,51.620890347579746,3.241780695159487,3.241780695159487,-0.48445095738331717,6.729621551347404
backward,-0.5665580034255981,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,contact_time,leg s,10.099999999999785,8.859999999999811,,,53.270042194092824,6.540084388185654,6.540084388185654,3.484688489968321,9.70464135021097
