window,run,label,command_x_mps,duration_s,directed_progress_m,lateral_drift_m,tracking_rmse_mps,episode_ends,torque_squared_per_m,absolute_work_j_per_m,vertical_grf_impulse_ns_per_m,fatigue_m5_total_per_m,fatigue_m5_dominant_pair,fatigue_m5_dominant_pair_per_m,fatigue_m5_dominant_to_other_ratio,worst_joint_fatigue_m5_component,worst_joint_fatigue_m5_per_m,worst_joint_normalized_torque_peak_component,worst_joint_normalized_torque_peak,worst_foot_vertical_force_component,worst_foot_vertical_force_peak_n,front_contact_duty,hind_contact_duty,recorded_joint_near_limit_fraction,recorded_joint_limit_violation_fraction,recorded_joint_target_limit_violation_fraction
backward,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,-0.5665580034255981,8.999999999999808,4.89678767323494,0.08202811889350414,0.04417320949965893,0,391.9161262297245,120.54678420726172,353.41913174706724,0.3294735885207576,front,0.3102455857389144,16.13509157757542,joint_front_left_thigh_pitch,0.22309560784472596,joint_front_left_thigh_pitch,0.8026096680585075,rear_left,332.48687744140625,0.5366666666666666,0.5111111111111111,0.0,0.0,0.0
backward,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,-0.5665580034255981,8.999999999999808,4.938436955213547,0.15434162691235542,0.03475704381277086,0,383.16101697441627,102.04337972532446,342.16156077925785,0.3178171752632022,front,0.2989065632523101,15.806287130217969,joint_front_left_thigh_pitch,0.2501053865326461,joint_front_left_thigh_pitch,0.8565494312959558,rear_left,330.9727783203125,0.55,0.5311111111111111,0.0,0.0,0.0
backward,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,-0.5665580034255981,8.999999999999808,4.929784461855888,0.1918886974453926,0.04146853361407606,0,382.5792940660116,143.47630938494495,340.57640180596553,0.1748800377370775,front,0.16467810361724308,16.141851308084718,joint_front_left_thigh_pitch,0.13712764863571628,joint_front_left_thigh_pitch,0.6515160728903377,rear_left,472.4207763671875,0.5611111111111111,0.4922222222222222,0.0,0.0,0.0
backward,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,-0.5665580034255981,8.999999999999808,5.0154606103897095,0.08169209118932486,0.02131709987822114,0,383.2802738929099,126.94649313826451,335.32785363292896,0.05752030849628583,front,0.049699011876992626,6.3543187653051625,joint_front_left_thigh_pitch,0.03497999246571836,joint_front_right_thigh_pitch,0.5311552496517405,rear_left,403.7386779785156,0.5877777777777777,0.5411111111111111,0.0,0.0,0.0
forward,2026-08-02_10-35-06_x1_no_trs_20k_512,No TRS,1.6819067001342773,18.999999999999595,31.69927740097046,0.017677366733551025,0.07786646938520364,0,313.6712475356994,146.49591457357664,108.34505622732547,1.3182411057399928,hind,1.033673215842245,3.6324309682784994,joint_rear_left_thigh_pitch,0.6330922455462025,joint_front_left_thigh_pitch,1.0,rear_left,682.2590942382812,0.4515789473684211,0.4205263157894737,0.0,0.0,0.0
forward,2026-08-02_21-02-49_x1_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,1.6819067001342773,18.999999999999595,31.80397129058838,0.05405348539352417,0.08094099843039483,0,314.1261634088839,146.5399593133476,109.89154494745353,1.6528086097561727,hind,1.1291487868047647,2.156263928060683,joint_rear_right_thigh_pitch,0.6578867237035487,joint_front_left_thigh_pitch,1.0,rear_left,992.9506225585938,0.41789473684210526,0.4368421052631579,0.0,0.0,0.0
forward,2026-08-02_10-28-45_x1_trs_m0p2_v0p10_w500_minv0_20k_512,TRS 0.20/0.10,1.6819067001342773,18.999999999999595,31.44967794418335,0.012543849647045135,0.07287350595811654,0,344.5185813840613,175.4179041072653,111.25940739960242,1.1188792805423438,hind,0.8588683864796323,3.3032015430572073,joint_rear_right_thigh_pitch,0.4563007935876342,joint_front_left_thigh_pitch,1.0,rear_left,970.71875,0.43526315789473685,0.47368421052631576,0.0,0.0,0.0
forward,2026-08-02_21-07-58_x1_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,1.6819067001342773,18.999999999999595,31.982192516326904,0.036214244086295366,0.06654295520634092,0,338.61183231705553,162.060153506748,110.34169353390753,1.2153230896380842,hind,0.8361792953184374,2.2054410697105453,joint_rear_right_thigh_pitch,0.6598144638665391,joint_front_right_thigh_pitch,1.0,rear_left,664.3754272460938,0.5,0.4357894736842105,0.0,0.0,0.0
