run,label,mirror_loss_coeff,value_loss_coeff,warmup_iterations,iterations,transitions_per_iteration,environment_transitions,wall_time_hours,reward_auc_first_10000,reward_auc_full,reward_last_1000_mean,reward_last_1000_std,reward_30_iteration,reward_30_transitions,reward_35_iteration,reward_35_transitions,straight_reward_1p5_iteration,velocity_error_xy_0p15_iteration,episode_length_last_1000_mean,velocity_error_xy_last_1000_mean,velocity_error_yaw_last_1000_mean,throughput_fps_mean,learning_seconds_per_iteration_mean,symmetry_loss_last_1000_mean,tr_value_loss_last_1000_mean,action_abs_mean_last_1000_mean,joint_near_limit_fraction_last_1000_mean,joint_limit_violation_fraction_last_1000_mean,timeout_fraction_last_1000_mean,calf_height_termination_fraction_last_1000_mean
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,0.0,0.0,,20000,12288,245760000,9.756062230732706,24.771218031270763,29.68948091626844,35.53053987884522,1.2148053376708834,8669,106524672,17034,209313792,12333,15106,1374.7688286132814,0.1422737390846014,0.20488508421182633,7319.309765488274,0.10965692499255089,0.0,,1.5477169505357742,0.013607348076067866,0.00360022674058564,0.8589526545405388,0.11635075150430202
2026-08-01_11-09-46_go2_trs_m0p1_v0p05_w500_minv0_20k_512,TRS 0.10/0.05,0.1,0.05,500,20000,12288,245760000,11.392588126526938,25.1214373005007,30.63598700453176,37.01323416137695,0.8875665430749703,6539,80351232,11336,139296768,9619,12707,1405.1645606689453,0.1354200980886817,0.19344108037650584,6312.697634881744,0.18671709320844307,0.09850561563670636,0.004377045223605819,1.7150707315206528,0.02987778906337917,0.008465441125910729,0.8911461753845215,0.09030786335468292
2026-07-31_22-48-38_go2_trs_m0p2_v0p1_w500_20k_512,TRS 0.20/0.10,0.2,0.1,500,20000,12288,245760000,9.439741188883781,22.88352686642903,28.739760614505368,36.28012158203125,1.140537438757417,7995,98242560,15845,194703360,13320,14543,1395.3747182617187,0.14399919229745864,0.20087110759317875,7481.207410370518,0.15196186336578563,0.045717874776571986,0.002593034129415173,1.7825545349121095,0.026361065063625573,0.007279331255238503,0.8826387699246406,0.10043449135869742
2026-08-01_22-39-14_go2_trs_m0p3_v0p15_w500_minv0_20k_512,TRS 0.30/0.15,0.3,0.15,500,20000,12288,245760000,11.231155596971512,23.47416654524982,29.304796601136257,36.366379981994626,1.1278349987432894,7535,92590080,15249,187379712,12173,12729,1400.3651091308593,0.14322304438054562,0.20175227299332618,6371.3218160908045,0.1988674738006691,0.031573373025283215,0.0018959769109205809,1.8730160256624222,0.03397686344757676,0.009497403296176344,0.8873565434217453,0.09265234573185444
