run,label,transitions_million,elapsed_hours,reward_rolling_mean_200
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,2.4576,0.10964321951071421,2.8536444430798293
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,2.70336,0.12054177403450012,3.946631337925792
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,2.94912,0.1307015042172538,5.377473284527659
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,3.19488,0.14077851288848453,6.654538609907031
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,3.44064,0.1511792861090766,7.452941167354584
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,3.6864,0.1610819196038776,8.164088084697724
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,3.93216,0.17087456107139587,9.028128252029418
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,4.17792,0.18136291888025072,10.017929153442383
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,4.42368,0.19133074820041657,11.075439069271088
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,4.66944,0.2010393585761388,11.937140910625457
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,4.9152,0.21232343627346886,12.727040169239045
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,5.16096,0.22243990242481232,13.760557827949524
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,5.40672,0.2321339099937015,14.390846586227417
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,5.65248,0.2433824000093672,15.12448133945465
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,5.89824,0.25429196291499667,15.955813021659852
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,6.144,0.2646542631255256,16.63413012981415
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,6.38976,0.27502818829483455,17.18260775089264
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,6.63552,0.2852241259151035,17.526462330818177
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,6.88128,0.29510439614454903,17.741188921928405
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,7.12704,0.30558022386497924,18.048138594627382
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,7.3728,0.315791758828693,18.244324617385864
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,7.61856,0.3258054687579473,18.256305561065673
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,7.86432,0.33627190324995254,18.290629529953
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,8.11008,0.3463460083802541,18.369778423309327
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,8.35584,0.35622585270139906,18.332711210250853
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,8.6016,0.36624844359027015,18.453078546524047
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,8.84736,0.3768045084344016,18.562724170684813
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,9.09312,0.3866481649875641,18.629753217697143
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,9.33888,0.39663262751367356,18.613558044433592
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,9.58464,0.4073027710782157,18.402953758239747
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,9.8304,0.41756435102886624,18.068170776367186
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,10.07616,0.4277212737666236,18.00591481208801
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,10.32192,0.4387397105163998,17.901491122245787
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,10.56768,0.44934242407480873,17.28728184223175
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,10.81344,0.4597891030708949,16.770934839248657
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,11.0592,0.4705632134278615,16.445074882507324
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,11.30496,0.48107419980896843,16.008808674812318
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,11.55072,0.4922749884261025,15.447531251907348
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,11.79648,0.5030008386903339,15.190150032043457
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,12.04224,0.5135000161992179,14.888961906433105
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,12.288,0.5239755613936319,14.797923765182496
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,12.53376,0.5346054149336285,14.706897630691529
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,12.77952,0.5451297938161426,14.37055233001709
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,13.02528,0.5556551873021656,14.366309895515442
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,13.27104,0.5661948472261429,14.535571851730346
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,13.5168,0.576745000547833,14.552610325813294
2026-07-31_22-48-10_go2_no_trs_20k_512,No TRS,13.76256,0.5872586023807526,14.432960348129273
