run_id,abbreviation,color,is_baseline,run,cell_id,gait_index,gait_name,family,seed,velocity_mps,velocity_scope,velocity_vx_rmse_mps,velocity_vx_relative_rmse_percent,velocity_yaw_rmse_radps,gait_agreement_boundary_excluded_percent,planar_tracking_success,vx_relative_tracking_success,yaw_tracking_success,tracking_success,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_squared_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_squared_hind_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_squared_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_squared_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_squared_total_per_s,normalized_torque_utilization_total_per_directed_m,normalized_torque_squared_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m,velocity_vx_rmse_mps_delta_from_baseline,velocity_yaw_rmse_radps_delta_from_baseline,gait_agreement_boundary_excluded_percent_delta_from_baseline,torque_squared_abs_imbalance_percent_delta_from_baseline,normalized_torque_squared_abs_imbalance_percent_delta_from_baseline,absolute_work_abs_imbalance_percent_delta_from_baseline,vertical_grf_impulse_abs_imbalance_percent_delta_from_baseline
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_00_trot__vx_neg_1p5__seed_4242,0,trot,trot,4242,-1.5,negative,0.028054539563439153,1.8703013906950166,0.03292628971512299,87.909604519774,True,True,True,True,2378.321968615361,911.2322741503599,44.59843450495995,44.59843450495995,342.661900288096,230.72096410522255,3.064250265778388,3.064250265778388,1.1011861798860572,1.1011861798860572,47.127452585084264,47.127452585084264,47.127452585084264,47.127452585084264,0.433899629756713,0.433899629756713,0.2921531130779343,0.2921531130779343,698.2278186963546,416.6061350537802,25.261312027252234,25.261312027252234,116.12853684897237,78.19161674932953,959.1419645345211,505.74515961050986,30.950972088626447,30.950972088626447,152.59240876510742,102.74345538801897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_00_trot__vx_neg_1p0__seed_4242,0,trot,trot,4242,-1.0,negative,0.02353014664926762,2.3530123119144504,0.02662721079106893,91.64810690423162,True,True,True,True,2031.0079899678863,830.5874321252063,41.94934575917938,41.94934575917938,293.19625226363655,298.93893240043394,2.653854958804522,2.653854958804522,0.9989414999606627,0.9989414999606627,45.305383903139706,45.305383903139706,45.305383903139706,45.305383903139706,0.3742619322505312,0.3742619322505312,0.38159240304509634,0.38159240304509634,397.2952116835304,270.7929492829379,18.934965441924916,18.934965441924916,68.45165583672832,69.79238226576537,967.7082134342194,522.5855909967422,29.868111986645356,29.868111986645356,152.6940373392379,155.6847748008033,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_00_trot__vx_neg_0p5__seed_4242,0,trot,trot,4242,-0.5,negative,0.023105103514144555,4.621011460805989,0.04738239636415261,96.84684684684684,True,True,True,True,1467.1949513464945,792.1858387517794,29.8758454330912,29.8758454330912,233.89035094185027,490.3715824254955,1.8629790585591226,1.8629790585591226,0.9311976580638809,0.9311976580638809,33.34726092848478,33.34726092848478,33.34726092848478,33.34726092848478,0.2892522480976194,0.2892522480976194,0.6064426430957218,0.6064426430957218,189.99430645748515,140.29916288802661,15.045754210015485,15.045754210015485,34.191870532661675,71.68624781514612,905.2568793344499,557.6191463255882,23.76399140535578,23.76399140535578,151.43644157971409,317.4997480455832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_00_trot__vx_pos_0p5__seed_4242,0,trot,trot,4242,0.5,positive,0.021612623240547447,4.322516003077483,0.05687899494952229,94.36936936936937,True,True,False,False,970.5618875353942,1114.115691191013,-6.886139378124845,6.886139378124845,215.8051323733341,424.83878793797936,1.1592784147682846,1.1592784147682846,1.1973639356838108,1.1973639356838108,-1.6160925270743738,-1.6160925270743738,1.6160925270743738,1.6160925270743738,0.2439588354505275,0.2439588354505275,0.48026279458574034,0.48026279458574034,153.13966088703836,173.77717931472466,-6.3127731244892304,6.3127731244892304,33.8423230022529,66.6227504747671,781.7137361192704,693.7295096111297,5.963240318646423,5.963240318646423,152.7373960383437,300.6822381475068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_00_trot__vx_pos_1p0__seed_4242,0,trot,trot,4242,1.0,positive,0.02971148256120905,2.9711452849756204,0.04938079342495685,85.96881959910914,True,True,True,True,1283.6347333984854,1542.2391657380663,-9.151308287981204,9.151308287981204,289.53626015743356,286.0602258087492,1.4784067838117383,1.4784067838117383,1.6486790810918737,1.6486790810918737,-5.4450790491927785,-5.4450790491927785,5.4450790491927785,5.4450790491927785,0.3203981418958619,0.3203981418958619,0.31655159450356257,0.31655159450356257,325.066111651276,330.2559228948054,-0.7919482284956574,0.7919482284956574,67.14365108054112,66.33755640581839,770.0438260078431,754.1205633497239,1.0447208168162812,1.0447208168162812,156.16438415548842,154.28954898606798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_00_trot__vx_pos_1p5__seed_4242,0,trot,trot,4242,1.5,positive,0.04071370349800926,2.7142450903705573,0.043839988790141025,79.83050847457626,True,True,True,True,1718.8617140169533,2068.6062758147273,-9.234257893049994,9.234257893049994,394.52791560746675,260.74294590701385,1.9794101511616944,1.9794101511616944,2.276601716472869,2.276601716472869,-6.982865051932992,-6.982865051932992,6.982865051932992,6.982865051932992,0.443334569545267,0.443334569545267,0.2929991950193526,0.2929991950193526,597.7846754772834,610.1749833685815,-1.025721993326857,1.025721993326857,125.8291311297776,83.16029622689953,730.0639207649231,797.3798510742188,-4.40709710893272,4.40709710893272,159.10872623324394,105.15473393990537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_01_bound__vx_neg_1p5__seed_4242,1,bound,bound,4242,-1.5,negative,0.03918841404068854,2.6125591943397732,0.060857002413563746,88.13559322033898,True,True,False,False,3312.3714008855277,1701.0210117009956,32.14091889434204,32.14091889434204,522.2283763110962,354.52325650806716,4.424250004967615,4.424250004967615,1.9572414590954301,1.9572414590954301,38.65880820753242,38.65880820753242,38.65880820753242,38.65880820753242,0.664738694173234,0.664738694173234,0.4512687116887479,0.4512687116887479,1003.4747536652332,1192.1389591438178,-8.59277769937086,8.59277769937086,228.70976175094282,155.26335451910904,951.4549324780703,433.18877275042234,37.42956818209953,37.42956818209953,144.23371929463468,97.91541437063391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_01_bound__vx_neg_1p0__seed_4242,1,bound,bound,4242,-1.0,negative,0.04838193315254927,4.83818847706645,0.06290911641547405,92.59465478841871,True,True,False,False,3281.3098368359224,1543.3014752115641,36.02380065901673,36.02380065901673,494.32492951306216,510.7189372081735,4.318914048053809,4.318914048053809,1.6686911707902325,1.6686911707902325,44.26181721070824,44.26181721070824,44.26181721070824,44.26181721070824,0.6134841412750042,0.6134841412750042,0.6338299970723202,0.6338299970723202,772.7937784925755,1151.073303809551,-19.66245635141908,19.66245635141908,197.1175289243982,203.65482067946135,957.9823504805565,430.9208311738074,37.94803887474363,37.94803887474363,142.3056538580291,147.02514066745317,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_01_bound__vx_neg_0p5__seed_4242,1,bound,bound,4242,-0.5,negative,0.031452698573499964,6.290527133645725,0.04696415769908365,95.94594594594594,True,True,True,True,3057.8177572963327,1489.5379713227064,34.48773044306979,34.48773044306979,470.7407586562152,968.268681898087,3.9927583155994406,3.9927583155994406,1.703098705664373,1.703098705664373,40.19868478768505,40.19868478768505,40.19868478768505,40.19868478768505,0.5896332320148876,0.5896332320148876,1.212819119372905,1.212819119372905,748.3513839829525,597.6634217707635,11.1951192191983,11.1951192191983,139.3390068068029,286.60699966357225,901.5708439159393,487.97027758821844,29.76526278545858,29.76526278545858,143.8448365946333,295.87506024531154,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,gait_01_bound__vx_pos_0p5__seed_4242,1,bound,bound,4242,0.5,positive,0.027007927465680228,5.401574689986665,0.03933247493793725,92.96171171171171,True,True,True,True,1964.1534955181025,3091.093317140162,-22.29247875297045,22.29247875297045,523.3174754304622,1025.17770224146,1.9268497179351256,1.9268497179351256,2.9853206131086845,2.9853206131086845,-21.54792736897296,-21.54792736897296,21.54792736897296,21.54792736897296,0.5085062454496698,0.5085062454496698,0.9961625375814447,0.9961625375814447,926.7541338795702,1104.706496116618,-8.759823331519925,8.759823331519925,210.29613146958465,411.96962641639186,672.1725958633423,762.5492836761475,-6.299247896171622,6.299247896171622,148.52193369974015,290.95411842976074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
