run_id,abbreviation,color,is_baseline,run,seed,num_envs,num_steps_per_env,iterations,transitions_per_iteration,environment_transitions,wall_time_hours,reward_auc_first_10000,reward_auc_full,reward_last_1000_mean,reward_last_1000_std,trs_enabled,mirror_coeff,value_coeff,warmup_iterations,rampup_iterations,policy_enabled,policy_target_coeff,policy_warmup_iterations,policy_rampup_iterations,value_enabled,value_target_coeff,value_warmup_iterations,value_rampup_iterations,augmentation_enabled,augmentation_target_coeff,augmentation_warmup_iterations,augmentation_rampup_iterations,wall_time_hours_delta_from_baseline,reward_auc_first_10000_delta_from_baseline,reward_auc_full_delta_from_baseline,reward_last_1000_mean_delta_from_baseline
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-29_11-56-35_notrs_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,43,512,24,20000,12288,245760000,12.288547022144,26.60472182766332,32.53385096595119,40.52846541976929,0.9436719589989938,False,0.0,0.0,500,1000,False,0.0,500,1000,False,0.0,500,1000,False,0.0,500,1000,0.0,0.0,0.0,0.0
run_01,Low-r0,#0072B2,False,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-30_09-45-19_trs_m0p1_v0p05_w500_r0_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,43,512,24,20000,12288,245760000,12.523553254140747,26.704248896916873,33.05052946476039,41.18949769973755,1.1890754453624781,True,0.1,0.05,500,0,True,0.1,500,0,True,0.05,500,0,False,0.0,500,0,0.23500623199674742,0.09952706925355415,0.516678498809199,0.6610322799682606
run_02,Low-r500,#56B4E9,False,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-31_00-14-06_trs_m0p1_v0p05_w500_r500_vmcmd_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,43,512,24,20000,12288,245760000,12.274735787113508,25.435379259976067,31.5605239460353,38.864675708770754,1.050323610816488,True,0.1,0.05,500,500,True,0.1,500,500,True,0.05,500,500,False,0.0,500,500,-0.013811235030491531,-1.1693425676872522,-0.9733270199158888,-1.663789710998536
run_03,High-r0,#D97706,False,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-30_09-45-34_trs_m0p2_v0p1_w500_r0_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,43,512,24,20000,12288,245760000,12.031048001183404,26.10119017800673,31.997625518784318,39.54968131637573,1.0624984883504816,True,0.2,0.1,500,0,True,0.2,500,0,True,0.1,500,0,False,0.0,500,0,-0.25749902096059607,-0.5035316496565905,-0.5362254471668706,-0.9787841033935578
run_04,High-r500,#00875A,False,logs/rsl_rl/good_runs/unitree_go2_symm_flat/2026-08-31_00-14-42_trs_m0p2_v0p1_w500_r500_vmcmd_fp0p3sum_jtlw0p2_amf0_g2fc1_s43,43,512,24,20000,12288,245760000,11.591559978326162,26.58915355759855,32.86809049022443,40.94061524963379,0.9673885904820014,True,0.2,0.1,500,500,True,0.2,500,500,True,0.1,500,500,False,0.0,500,500,-0.6969870438178383,-0.015568270064768797,0.33423952427324366,0.41214982986449655
