operator,scope,stratum,planned_pairs,analyzed_pairs,paired_velocity_bias_mean,paired_velocity_bias_valid_pairs,paired_velocity_bias_coverage_fraction,paired_yaw_bias_mean,paired_yaw_bias_valid_pairs,paired_yaw_bias_coverage_fraction,paired_contact_pattern_error_mean,paired_contact_pattern_error_valid_pairs,paired_contact_pattern_error_coverage_fraction,paired_touchdown_phase_error_mean,paired_touchdown_phase_error_valid_pairs,paired_touchdown_phase_error_coverage_fraction,paired_joint_position_error_mean,paired_joint_position_error_valid_pairs,paired_joint_position_error_coverage_fraction,paired_joint_velocity_error_mean,paired_joint_velocity_error_valid_pairs,paired_joint_velocity_error_coverage_fraction,paired_actor_mean_consistency_error_mean,paired_actor_mean_consistency_error_valid_pairs,paired_actor_mean_consistency_error_coverage_fraction,paired_normalized_target_consistency_error_mean,paired_normalized_target_consistency_error_valid_pairs,paired_normalized_target_consistency_error_coverage_fraction,paired_value_consistency_error_mean,paired_value_consistency_error_valid_pairs,paired_value_consistency_error_coverage_fraction,paired_torque_pattern_error_mean,paired_torque_pattern_error_valid_pairs,paired_torque_pattern_error_coverage_fraction,paired_work_pattern_error_mean,paired_work_pattern_error_valid_pairs,paired_work_pattern_error_coverage_fraction,paired_grf_pattern_error_mean,paired_grf_pattern_error_valid_pairs,paired_grf_pattern_error_coverage_fraction
temporal_reversal,overall,all,30,30,0.011334441950713259,30,1.0,0.008194378637090403,30,1.0,0.059932375567141184,30,1.0,0.023186419842288922,30,1.0,0.2533614666250166,30,1.0,4.58072679306484,30,1.0,1.2671947918423665,30,1.0,0.14967888382526925,30,1.0,0.021050914411092882,30,1.0,3.6960147315678835,30,1.0,40.41331078768938,30,1.0,38.95523892429584,30,1.0
temporal_reversal,family,bound,3,3,0.004907021448658709,3,1.0,0.01177728152832117,3,1.0,0.04461997962974525,3,1.0,0.043176221489469646,3,1.0,0.31951336080586024,3,1.0,5.931025338370716,3,1.0,1.6289571902138869,3,1.0,0.1826168724499647,3,1.0,0.014854195757516614,3,1.0,4.064143923511836,3,1.0,62.01170619405815,3,1.0,29.349026394157296,3,1.0
temporal_reversal,family,gallop,12,12,0.012126443669839027,12,1.0,0.008910082973267076,12,1.0,0.07760528960785308,12,1.0,0.01969866953912884,12,1.0,0.24425013445505628,12,1.0,4.245284865136189,12,1.0,1.197067297713998,12,1.0,0.14643853282465524,12,1.0,0.025889735490321197,12,1.0,3.6574241804408483,12,1.0,33.02484858212295,12,1.0,41.415586056363594,12,1.0
temporal_reversal,family,half_bound,12,12,0.012019751091400953,12,1.0,0.008503049742623137,12,1.0,0.04683915632707137,12,1.0,0.021082774828263998,12,1.0,0.28418501729203444,12,1.0,5.276554135913219,12,1.0,1.4245419893892948,12,1.0,0.1651869224808318,12,1.0,0.020965447460129377,12,1.0,3.8926996459865575,12,1.0,50.61105069551473,12,1.0,37.65882792176042,12,1.0
temporal_reversal,family,trot,3,3,0.011852619013513978,3,1.0,0.0005139739790220027,3,1.0,0.05692599230196887,3,1.0,0.02556219946384822,3,1.0,0.10036069845594253,3,1.0,1.7888865880800482,3,1.0,0.556553579796605,3,1.0,0.06767014458077951,3,1.0,0.008234216551609887,3,1.0,2.695508086457378,3,1.0,7.57780457228504,3,1.0,43.90570693630506,3,1.0
temporal_reversal,direction,positive_to_negative,30,30,0.011334441950713259,30,1.0,0.008194378637090403,30,1.0,0.059932375567141184,30,1.0,0.023186419842288922,30,1.0,0.2533614666250166,30,1.0,4.58072679306484,30,1.0,1.2671947918423665,30,1.0,0.14967888382526925,30,1.0,0.021050914411092882,30,1.0,3.6960147315678835,30,1.0,40.41331078768938,30,1.0,38.95523892429584,30,1.0
temporal_reversal,speed,0.5 m/s,10,10,0.01006582283978656,10,1.0,0.008236350273145088,10,1.0,0.06202892485119047,10,1.0,0.02924156684976765,10,1.0,0.22349193703331166,10,1.0,4.17834816587977,10,1.0,1.1909677699452124,10,1.0,0.14046893900718116,10,1.0,0.017757311520753893,10,1.0,3.4500401887341092,10,1.0,42.21073215562159,10,1.0,33.89442400945721,10,1.0
temporal_reversal,speed,1 m/s,10,10,0.009505965220881325,10,1.0,0.008417791946207018,10,1.0,0.05531850961538461,10,1.0,0.02027652312861888,10,1.0,0.2597837667173172,10,1.0,4.370253696766178,10,1.0,1.3125668191857147,10,1.0,0.15499428349983038,10,1.0,0.020972236364396643,10,1.0,3.7613928275371675,10,1.0,40.12273871286811,10,1.0,39.683573736853205,10,1.0
temporal_reversal,speed,1.5 m/s,10,10,0.0144315377914719,10,1.0,0.007928993691919102,10,1.0,0.06244969223484849,10,1.0,0.02004116954848024,10,1.0,0.2768086961244208,10,1.0,5.1935785165485715,10,1.0,1.2980497863961722,10,1.0,0.15357342896879617,10,1.0,0.024423195348128115,10,1.0,3.8766111784323747,10,1.0,38.90646149457845,10,1.0,43.28771902657709,10,1.0
temporal_reversal,robot,x1,30,30,0.011334441950713259,30,1.0,0.008194378637090403,30,1.0,0.059932375567141184,30,1.0,0.023186419842288922,30,1.0,0.2533614666250166,30,1.0,4.58072679306484,30,1.0,1.2671947918423665,30,1.0,0.14967888382526925,30,1.0,0.021050914411092882,30,1.0,3.6960147315678835,30,1.0,40.41331078768938,30,1.0,38.95523892429584,30,1.0
