run_id,abbreviation,color,is_baseline,run,iteration,transitions_millions,elapsed_hours,smoothed_reward
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,880,10.81344,0.49168072548177505,14.645689134597779
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,900,11.0592,0.5020991527371936,15.170064897537232
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,920,11.30496,0.5125474978817833,15.47650999546051
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,940,11.55072,0.5231194703446495,15.583404908180237
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,960,11.79648,0.5335946514871386,15.73757089138031
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,980,12.04224,0.5439344689581129,15.985444173812866
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1000,12.288,0.5544113796287112,16.046394877433777
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1020,12.53376,0.5649613087044821,16.09984016418457
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1040,12.77952,0.575316253900528,15.933026142120362
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1060,13.02528,0.5857833237780465,15.826487503051759
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1080,13.27104,0.5961890605423186,15.719043731689453
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1100,13.5168,0.6064970870812734,15.585594601631165
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1120,13.76256,0.6168987002637651,15.63239646434784
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1140,14.00832,0.6272019813458125,15.853953609466553
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1160,14.25408,0.6383105519082811,15.890980558395386
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1180,14.49984,0.6485270897547404,15.854078211784362
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1200,14.7456,0.658819884856542,15.816024332046508
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1220,14.99136,0.6691304961178037,15.971951804161073
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1240,15.23712,0.6793410064114465,16.25865078449249
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1260,15.48288,0.6896120670106676,16.49177411556244
run_00,NoTRS,#202124,True,logs/rsl_rl/good_runs/dobot_x1_symm_flat/2026-08-25_06-08-02_notrs_x1def_s42,1280,15.72864,0.7000071552726957,16.619217963218688
