run,label,direction,family,metric,metric_label,unit,cells,signed_imbalance_percent,mean_absolute_imbalance_percent,total_per_directed_m
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,forward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,-6.503969406293492,6.528568977222056,214.16663404603966
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,trot,torque_squared,Torque²,N² m² s,3,0.4092196076941792,3.423183217081221,236.88823320916683
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,bound,torque_squared,Torque²,N² m² s,3,-5.53914160541548,9.505494740710132,469.83825853183106
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,half_bound,torque_squared,Torque²,N² m² s,12,0.25435389514183826,5.595760512687811,338.7262652125623
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,gallop,torque_squared,Torque²,N² m² s,12,-4.020998853563212,6.423519594292962,315.9477013685793
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,all_family_balanced,torque_squared,Torque²,N² m² s,30,-2.2241417390356686,6.236989516193032,340.35011458053486
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,trot,absolute_work,Absolute work,J,3,11.10768573781562,11.10768573781562,57.260361829233865
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,bound,absolute_work,Absolute work,J,3,-20.336162695812437,20.336162695812437,322.71190795240426
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,half_bound,absolute_work,Absolute work,J,12,-3.129938041462813,6.7322094671934885,169.3438321939085
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,gallop,absolute_work,Absolute work,J,12,4.7630998342254385,6.4400209945141995,133.6489754885563
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,all_family_balanced,absolute_work,Absolute work,J,30,-1.8988287913085478,11.154019723833937,170.74126936602573
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,trot,vertical_grf_impulse,Vertical GRF impulse,N s,3,-2.493873426883724,3.2747115593614278,220.72120547070995
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,bound,vertical_grf_impulse,Vertical GRF impulse,N s,3,-0.35860630350411293,2.4589884994457645,209.53620716716281
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,half_bound,vertical_grf_impulse,Vertical GRF impulse,N s,12,2.442670700286581,4.981421069380823,211.6909439624504
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,gallop,vertical_grf_impulse,Vertical GRF impulse,N s,12,-1.4733818608192184,3.5007742484593884,214.34598056147442
2026-08-21_06-37-31_x1_72d_trs_m0p1_v0p05_w500_r0_gait_trclosed_v2,TRS m0.1/v0.05,backward,all_family_balanced,vertical_grf_impulse,Vertical GRF impulse,N s,30,-0.47079772273011866,3.5539738441618507,214.0735842904494
