run,label,cell_id,gait_index,gait_name,family,direction,velocity_mps,metric,metric_label,unit,front,hind,signed_imbalance_percent,absolute_imbalance_percent,total_per_directed_m,planar_tracking_success,yaw_tracking_success,tracking_success
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,backward,-1.0,torque_squared,Torque²,N² m² s,2496.9315339864265,1159.8232704891534,36.565433970600324,36.565433970600324,390.2387550841235,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,backward,-1.0,absolute_work,Absolute work,J,1439.678856792301,599.1579464829866,41.225511966384964,41.225511966384964,217.57902251363694,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_1p0__seed_0042,1,bound,bound,backward,-1.0,vertical_grf_impulse,Vertical GRF impulse,N s,834.137088588921,720.5820513396777,7.30389395311994,7.30389395311994,165.91532495660584,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,backward,-0.5,torque_squared,Torque²,N² m² s,2071.353277493351,892.5338912340105,39.77274839262872,39.77274839262872,643.0566154301204,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,backward,-0.5,absolute_work,Absolute work,J,1530.5893745364394,435.0314115001203,55.73597770327721,55.73597770327721,426.4688154206975,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_neg_0p5__seed_0042,1,bound,bound,backward,-0.5,vertical_grf_impulse,Vertical GRF impulse,N s,832.4083577564652,745.3830367689288,5.515641756539934,5.515641756539934,342.32382552333263,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,forward,0.5,torque_squared,Torque²,N² m² s,2611.393427285924,1160.2901247151287,38.473622788447294,38.473622788447294,809.8179218144031,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,forward,0.5,absolute_work,Absolute work,J,2706.094171547778,473.4247718186176,70.22035218212179,70.22035218212179,682.6742985159595,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_0p5__seed_0042,1,bound,bound,forward,0.5,vertical_grf_impulse,Vertical GRF impulse,N s,786.7294184821126,821.5926014995575,-2.1676742955892805,2.1676742955892805,345.3227127548625,True,True,True
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,gait_01_bound__vx_pos_1p0__seed_0042,1,bound,bound,forward,1.0,torque_squared,Torque²,N² m² s,2613.23503590177,1744.0938798471825,19.9466501808757,19.9466501808757,463.12699914980425,True,True,True
