run,label,transitions_millions,elapsed_hours,smoothed_reward
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,13.27104,0.4799364542298847,15.719043731689453
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,13.5168,0.48862085660298665,15.585594601631165
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,13.76256,0.4973879552549786,15.63239646434784
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,14.00832,0.5060901197459963,15.853953609466553
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,14.25408,0.5148430336846246,15.890980558395386
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,14.49984,0.5235334529479345,15.854078211784362
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,14.7456,0.5322252453698052,15.816024332046508
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,14.99136,0.5409092670016818,15.971951804161073
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,15.23712,0.5495080382956399,16.25865078449249
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,15.48288,0.5581708775626288,16.49177411556244
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,15.72864,0.5668803647491667,16.619217963218688
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,15.9744,0.5755466736025281,16.593903727531433
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,16.22016,0.5841998062531153,16.679873595237733
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,16.46592,0.5930224753088421,16.731917243003846
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,16.71168,0.6017605577574836,16.867284741401672
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,16.95744,0.6104616689019733,16.86274781703949
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,17.2032,0.6192219797770182,17.180171632766722
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,17.44896,0.6279252768887413,17.183617105484007
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,17.69472,0.6366274591286977,17.31285390853882
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,17.94048,0.6453863891628053,17.426869192123412
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,18.18624,0.6541399733887778,17.648275833129883
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,18.432,0.6628816306591034,17.98458643913269
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,18.67776,0.6715749852524864,18.355479030609132
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,18.92352,0.6803928365972307,18.46054578781128
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,19.16928,0.6891009321477678,18.882554926872253
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,19.41504,0.6978933726416694,19.118857412338258
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,19.6608,0.7066940685775545,19.32892491340637
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,19.90656,0.7154404172632429,19.419821081161498
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,20.15232,0.7242106948296229,19.492059803009035
2026-08-20_21-04-26_x1_72d_no_trs_gait_trclosed_v2,No TRS,20.39808,0.7330249320136176,19.561696796417237
