cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,fl,fr,23,17,6,0.7391304347826086,0.02823529411764706,0.09199999999999975,0.07013477998621323,0.2285224914550775
gait_01_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.008695652173913044,0.02,0.021599479343580162,0.049678802490234375
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,fl,fr,23,0,23,0.0,,,,
gait_01_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,23,0,1.0,0.03043478260869566,0.04,0.07559817770253056,0.09935760498046875
gait_01_bound__vx_pos_0p5__seed_0042,liftoff,fl,fr,23,3,20,0.13043478260869565,0.26666666666666666,0.278,0.662384033203125,0.6905353546142579
gait_01_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.14695652173913049,0.16,0.36503120090650476,0.397430419921875
gait_01_bound__vx_pos_1p0__seed_0042,touchdown,fl,fr,30,29,1,0.9666666666666667,0.04275862068965518,0.06,0.1358471574454472,0.19062423706054685
gait_01_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,30,30,0,1.0,0.03533333333333334,0.04,0.1122564951578776,0.12708282470703125
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,fl,fr,30,14,16,0.4666666666666667,0.06857142857142859,0.11599999999999994,0.21785627092633927,0.36854019165039037
gait_01_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.10466666666666669,0.12,0.33253339131673176,0.3812484741210937
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,fl,fr,38,38,0,1.0,0.040000000000000015,0.04,0.16254043579101562,0.16254043579101562
gait_01_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,38,38,0,1.0,0.03894736842105264,0.04,0.15826305590177836,0.16254043579101562
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,fl,fr,38,38,0,1.0,0.05842105263157895,0.08,0.23739458385266757,0.32508087158203125
gait_01_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,38,38,0,1.0,0.07105263157894738,0.08,0.2887231425235146,0.32508087158203125
gait_02_half_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,38,0,1.0,0.011578947368421055,0.02,0.04705117878160978,0.08127021789550781
gait_02_half_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,38,0,1.0,0.015263157894736845,0.02,0.062022008393940176,0.08127021789550781
gait_02_half_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,30,29,1,0.9666666666666667,0.011724137931034485,0.02,0.03724841413826778,0.06354141235351562
gait_02_half_bound__vx_neg_1p0__seed_0042,liftoff,rl,rr,30,29,1,0.9666666666666667,0.01724137931034483,0.02,0.05477707961509968,0.06354141235351562
gait_02_half_bound__vx_neg_0p5__seed_0042,touchdown,rl,rr,23,17,6,0.7391304347826086,0.0611764705882353,0.38,0.15195868997012868,0.9438972473144531
gait_02_half_bound__vx_neg_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.012173913043478262,0.02,0.03023927108101223,0.049678802490234375
gait_02_half_bound__vx_pos_0p5__seed_0042,touchdown,rl,rr,23,19,4,0.8260869565217391,0.34210526315789475,0.36,0.8497689899645353,0.8942184448242188
gait_02_half_bound__vx_pos_0p5__seed_0042,liftoff,rl,rr,23,23,0,1.0,0.16260869565217395,0.18,0.40391026372494904,0.4471092224121094
gait_02_half_bound__vx_pos_1p0__seed_0042,touchdown,rl,rr,30,14,16,0.4666666666666667,0.12571428571428572,0.26,0.39940316336495535,0.8260383605957031
gait_02_half_bound__vx_pos_1p0__seed_0042,liftoff,rl,rr,30,30,0,1.0,0.11000000000000003,0.12,0.34947776794433594,0.3812484741210937
gait_02_half_bound__vx_pos_1p5__seed_0042,touchdown,rl,rr,38,38,0,1.0,0.04947368421052632,0.06,0.2010368547941509,0.2438106536865234
gait_02_half_bound__vx_pos_1p5__seed_0042,liftoff,rl,rr,38,38,0,1.0,0.07789473684210528,0.1,0.3165261118035567,0.40635108947753906
gait_03_half_bound__vx_neg_1p5__seed_0042,touchdown,rl,rr,38,31,7,0.8157894736842105,0.00903225806451613,0.02,0.03670267904958417,0.08127021789550781
gait_03_half_bound__vx_neg_1p5__seed_0042,liftoff,rl,rr,38,31,7,0.8157894736842105,0.0025806451612903226,0.02,0.010486479728452621,0.08127021789550781
gait_03_half_bound__vx_neg_1p0__seed_0042,touchdown,rl,rr,30,27,3,0.9,0.0022222222222222222,0.02,0.007060156928168403,0.06354141235351562
