cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,relative_output_dir
gait_04_half_bound__vx_neg_1p0__seed_0042,4,half_bound,-1.0,42,valid,,True,0.061420760152964445,0.07757973189829331,0.3,0.05,True,False,False,cells/gait_04_half_bound/vx_neg_1p0/seed_0042
gait_04_half_bound__vx_neg_0p5__seed_0042,4,half_bound,-0.5,42,valid,,True,0.06729092119288807,0.07342412882177546,0.175,0.05,True,False,False,cells/gait_04_half_bound/vx_neg_0p5/seed_0042
gait_04_half_bound__vx_pos_0p5__seed_0042,4,half_bound,0.5,42,valid,,True,0.03922441790904479,0.11054080867145338,0.175,0.05,True,False,False,cells/gait_04_half_bound/vx_pos_0p5/seed_0042
gait_04_half_bound__vx_pos_1p0__seed_0042,4,half_bound,1.0,42,valid,,True,0.03724408441679929,0.07314544854624819,0.3,0.05,True,False,False,cells/gait_04_half_bound/vx_pos_1p0/seed_0042
gait_04_half_bound__vx_pos_1p5__seed_0042,4,half_bound,1.5,42,valid,,True,0.0412606723045954,0.05942123858872675,0.425,0.05,True,False,False,cells/gait_04_half_bound/vx_pos_1p5/seed_0042
gait_05_half_bound__vx_neg_1p5__seed_0042,5,half_bound,-1.5,42,valid,,True,0.09506290523892152,0.07651773378217572,0.425,0.05,True,False,False,cells/gait_05_half_bound/vx_neg_1p5/seed_0042
gait_05_half_bound__vx_neg_1p0__seed_0042,5,half_bound,-1.0,42,valid,,True,0.05828047651599868,0.0739099286984242,0.3,0.05,True,False,False,cells/gait_05_half_bound/vx_neg_1p0/seed_0042
gait_05_half_bound__vx_neg_0p5__seed_0042,5,half_bound,-0.5,42,valid,,True,0.06123137227573518,0.06462974186654534,0.175,0.05,True,False,False,cells/gait_05_half_bound/vx_neg_0p5/seed_0042
gait_05_half_bound__vx_pos_0p5__seed_0042,5,half_bound,0.5,42,valid,,True,0.04964420697720244,0.05468894028816474,0.175,0.05,True,False,False,cells/gait_05_half_bound/vx_pos_0p5/seed_0042
gait_05_half_bound__vx_pos_1p0__seed_0042,5,half_bound,1.0,42,valid,,True,0.03841284756331652,0.05164908694592125,0.3,0.05,True,False,False,cells/gait_05_half_bound/vx_pos_1p0/seed_0042
gait_05_half_bound__vx_pos_1p5__seed_0042,5,half_bound,1.5,42,valid,,True,0.031111500519207958,0.062169729912948564,0.425,0.05,True,False,False,cells/gait_05_half_bound/vx_pos_1p5/seed_0042
gait_06_gallop__vx_neg_1p5__seed_0042,6,gallop,-1.5,42,valid,,True,0.06947874661527118,0.07908357261486075,0.425,0.05,True,False,False,cells/gait_06_gallop/vx_neg_1p5/seed_0042
gait_06_gallop__vx_neg_1p0__seed_0042,6,gallop,-1.0,42,valid,,True,0.08491426206014328,0.08434398584258554,0.3,0.05,True,False,False,cells/gait_06_gallop/vx_neg_1p0/seed_0042
gait_06_gallop__vx_neg_0p5__seed_0042,6,gallop,-0.5,42,valid,,True,0.10134357889658618,0.08690686286013669,0.175,0.05,True,False,False,cells/gait_06_gallop/vx_neg_0p5/seed_0042
gait_06_gallop__vx_pos_0p5__seed_0042,6,gallop,0.5,42,valid,,True,0.07327951912283413,0.07438392309098006,0.175,0.05,True,False,False,cells/gait_06_gallop/vx_pos_0p5/seed_0042
gait_06_gallop__vx_pos_1p0__seed_0042,6,gallop,1.0,42,valid,,True,0.05359741651594628,0.04970793123684732,0.3,0.05,True,True,True,cells/gait_06_gallop/vx_pos_1p0/seed_0042
gait_06_gallop__vx_pos_1p5__seed_0042,6,gallop,1.5,42,valid,,True,0.04949543139829891,0.05510370060365429,0.425,0.05,True,False,False,cells/gait_06_gallop/vx_pos_1p5/seed_0042
gait_07_gallop__vx_neg_1p5__seed_0042,7,gallop,-1.5,42,valid,,True,0.10944058996148742,0.1510014673703215,0.425,0.05,True,False,False,cells/gait_07_gallop/vx_neg_1p5/seed_0042
gait_07_gallop__vx_neg_1p0__seed_0042,7,gallop,-1.0,42,valid,,True,0.07207343072513159,0.08855327833438142,0.3,0.05,True,False,False,cells/gait_07_gallop/vx_neg_1p0/seed_0042
gait_07_gallop__vx_neg_0p5__seed_0042,7,gallop,-0.5,42,valid,,True,0.047421072966173546,0.07316816137259292,0.175,0.05,True,False,False,cells/gait_07_gallop/vx_neg_0p5/seed_0042
gait_07_gallop__vx_pos_0p5__seed_0042,7,gallop,0.5,42,valid,,True,0.044783769211683394,0.09322331701775663,0.175,0.05,True,False,False,cells/gait_07_gallop/vx_pos_0p5/seed_0042
gait_07_gallop__vx_pos_1p0__seed_0042,7,gallop,1.0,42,valid,,True,0.04424347374408296,0.09569192546208376,0.3,0.05,True,False,False,cells/gait_07_gallop/vx_pos_1p0/seed_0042
gait_07_gallop__vx_pos_1p5__seed_0042,7,gallop,1.5,42,valid,,True,0.04315780581454721,0.09553547251553962,0.425,0.05,True,False,False,cells/gait_07_gallop/vx_pos_1p5/seed_0042
gait_08_gallop__vx_neg_1p5__seed_0042,8,gallop,-1.5,42,valid,,True,0.06499822532469711,0.06305602988547666,0.425,0.05,True,False,False,cells/gait_08_gallop/vx_neg_1p5/seed_0042
gait_08_gallop__vx_neg_1p0__seed_0042,8,gallop,-1.0,42,valid,,True,0.0707154860231225,0.08997149184450434,0.3,0.05,True,False,False,cells/gait_08_gallop/vx_neg_1p0/seed_0042
gait_08_gallop__vx_neg_0p5__seed_0042,8,gallop,-0.5,42,valid,,True,0.07964448263654339,0.08810797045739155,0.175,0.05,True,False,False,cells/gait_08_gallop/vx_neg_0p5/seed_0042
gait_08_gallop__vx_pos_0p5__seed_0042,8,gallop,0.5,42,valid,,True,0.06422639256878018,0.08884611673109093,0.175,0.05,True,False,False,cells/gait_08_gallop/vx_pos_0p5/seed_0042
gait_08_gallop__vx_pos_1p0__seed_0042,8,gallop,1.0,42,valid,,True,0.05609006426464455,0.07208356282460279,0.3,0.05,True,False,False,cells/gait_08_gallop/vx_pos_1p0/seed_0042
gait_08_gallop__vx_pos_1p5__seed_0042,8,gallop,1.5,42,valid,,True,0.052801067207073095,0.0561165723099681,0.425,0.05,True,False,False,cells/gait_08_gallop/vx_pos_1p5/seed_0042
gait_09_gallop__vx_neg_1p5__seed_0042,9,gallop,-1.5,42,valid,,True,0.06463032677498512,0.09675136286282435,0.425,0.05,True,False,False,cells/gait_09_gallop/vx_neg_1p5/seed_0042
gait_09_gallop__vx_neg_1p0__seed_0042,9,gallop,-1.0,42,valid,,True,0.05993350348158143,0.08154561806400847,0.3,0.05,True,False,False,cells/gait_09_gallop/vx_neg_1p0/seed_0042
gait_09_gallop__vx_neg_0p5__seed_0042,9,gallop,-0.5,42,valid,,True,0.06272579879924324,0.09310308413157725,0.175,0.05,True,False,False,cells/gait_09_gallop/vx_neg_0p5/seed_0042
gait_09_gallop__vx_pos_0p5__seed_0042,9,gallop,0.5,42,valid,,True,0.04432334960932475,0.06878650925046487,0.175,0.05,True,False,False,cells/gait_09_gallop/vx_pos_0p5/seed_0042
gait_09_gallop__vx_pos_1p0__seed_0042,9,gallop,1.0,42,valid,,True,0.037252313483751576,0.06639142545681873,0.3,0.05,True,False,False,cells/gait_09_gallop/vx_pos_1p0/seed_0042
gait_09_gallop__vx_pos_1p5__seed_0042,9,gallop,1.5,42,valid,,True,0.03602183463310543,0.06998764587518196,0.425,0.05,True,False,False,cells/gait_09_gallop/vx_pos_1p5/seed_0042
