cell_id,gait_index,gait_name,family,velocity_mps,velocity_sign,seed,status,reason,relative_output_dir,sample_count,measurement_start_s,measurement_stop_s,measurement_duration_s,complete_cycles,phase_boundary_trimmed,gait_period_s,effort_limit_source,effort_limit_min_nm,effort_limit_max_nm,command_x_mean_mps,measured_x_mean_mps,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,planar_tracking_success,yaw_tracking_success,tracking_success,signed_directed_progress_m,integrated_body_x_progress_m,position_vs_integrated_progress_difference_m,directed_progress_definition,positive_directed_progress,torque_squared_front_integral,torque_squared_hind_integral,torque_squared_total_integral,torque_squared_signed_imbalance_percent,torque_squared_abs_imbalance_percent,torque_squared_total_per_s,torque_squared_total_per_directed_m,normalized_torque_utilization_front_integral,normalized_torque_utilization_hind_integral,normalized_torque_utilization_total_integral,normalized_torque_utilization_signed_imbalance_percent,normalized_torque_utilization_abs_imbalance_percent,normalized_torque_utilization_total_per_s,normalized_torque_utilization_total_per_directed_m,absolute_work_front_integral,absolute_work_hind_integral,absolute_work_total_integral,absolute_work_signed_imbalance_percent,absolute_work_abs_imbalance_percent,absolute_work_total_per_s,absolute_work_total_per_directed_m,vertical_grf_impulse_front_integral,vertical_grf_impulse_hind_integral,vertical_grf_impulse_total_integral,vertical_grf_impulse_signed_imbalance_percent,vertical_grf_impulse_abs_imbalance_percent,vertical_grf_impulse_total_per_s,vertical_grf_impulse_total_per_directed_m
gait_01_bound__vx_pos_1p0__seed_0042,1,bound,bound,1.0,forward,42,valid,,cells/gait_01_bound/vx_pos_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,0.9986009522051108,0.037099146894877984,0.048869660786992175,0.3,0.05,True,True,True,9.804423332214355,9.746345293521882,0.0580780386924733,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2331.02015443575,3073.2188222542395,5404.23897668999,-13.733638927142232,13.733638927142232,553.7130099067613,551.2041650561234,2.33102015443575e-15,3.0732188222542395e-15,5.40423897668999e-15,-13.733638927142232,13.733638927142232,5.537130099067613e-16,5.512041650561235e-16,989.4964991533523,1290.5618035857603,2280.0583027391126,-13.204280963812547,13.204280963812547,233.61253101835172,232.55404478991986,688.2482889962197,785.5079660391808,1473.7562550354005,-6.599441170183525,6.599441170183525,150.99961629461072,150.31544488629794
gait_01_bound__vx_pos_1p5__seed_0042,1,bound,bound,1.5,forward,42,valid,,cells/gait_01_bound/vx_pos_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.4962525360286236,0.05169189887304943,0.061063780848732825,0.425,0.05,True,False,False,14.373683452606201,14.364024345874787,0.009659106731414013,commanded-sign world-x displacement across the same sample intervals as effort integration,True,2044.9114915900916,2844.140379794404,4889.051871384496,-16.347318646426725,16.347318646426725,509.27623660255165,340.1391082185009,2.0449114915900916e-15,2.844140379794404e-15,4.8890518713844956e-15,-16.347318646426725,16.347318646426725,5.092762366025517e-16,3.4013910821850083e-16,881.1765438793309,1272.6978403123755,2153.8743841917067,-18.177536225260067,18.177536225260067,224.36191501996944,149.84846377712398,679.2463120388985,753.6042760396003,1432.8505880784987,-5.18951275306509,5.18951275306509,149.25526959151028,99.68569245336329
gait_02_half_bound__vx_neg_1p5__seed_0042,2,half_bound_front_a,half_bound,-1.5,backward,42,valid,,cells/gait_02_half_bound/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.4733456467588744,0.06298725064801369,0.11445188422190872,0.425,0.05,True,False,False,14.051651954650879,14.144118208885192,-0.09246625423431354,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3742.0518839140523,2857.093402921398,6599.14528683545,13.410198480673646,13.410198480673646,687.4109673786927,469.63483782070443,3.742051883914052e-15,2.857093402921398e-15,6.5991452868354506e-15,13.41019848067365,13.41019848067365,6.874109673786928e-16,4.696348378207045e-16,1195.2385663642688,3026.792494216134,4222.0310605804025,-43.38087289201709,43.38087289201709,439.79490214379194,300.4651036195766,1024.166541903668,399.81835907161235,1423.9849009752804,43.84514066156479,43.84514066156479,148.3317605182584,101.33932334581938
gait_02_half_bound__vx_neg_1p0__seed_0042,2,half_bound_front_a,half_bound,-1.0,backward,42,valid,,cells/gait_02_half_bound/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.970377471236909,0.05913466420185577,0.10083822162477506,0.3,0.05,True,False,False,9.478692054748535,9.470884119272233,0.007807935476302319,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3476.124463802133,2281.153480204628,5757.277944006761,20.755832794931358,20.755832794931358,589.8850352465944,607.3916011568854,3.476124463802133e-15,2.2811534802046283e-15,5.757277944006762e-15,20.755832794931347,20.755832794931347,5.898850352465945e-16,6.073916011568855e-16,918.3100676849197,2175.848419080002,3094.1584867649217,-40.642338030651224,40.642338030651224,317.0244351193567,326.4330636435058,980.3373160900582,425.0251902966467,1405.3625063867048,39.51379969721561,39.51379969721561,143.992060080605,148.26544614693555
gait_02_half_bound__vx_neg_0p5__seed_0042,2,half_bound_front_a,half_bound,-0.5,backward,42,valid,,cells/gait_02_half_bound/vx_neg_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,-0.5,-0.46165140062632276,0.060551407584338544,0.07737138196495638,0.175,0.05,True,False,False,4.443782329559326,4.459552530050278,-0.01577020049095168,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3306.497275804549,1699.7222627023905,5006.21953850694,32.095576327468955,32.095576327468955,518.242188251236,1126.5672274734006,3.306497275804549e-15,1.6997222627023903e-15,5.006219538506939e-15,32.095576327468955,32.095576327468955,5.182421882512359e-16,1.1265672274734006e-15,849.7231673802738,1077.748067583117,1927.471234963391,-11.830262162494694,11.830262162494694,199.53118374362225,433.74564549261606,955.0535232782416,439.6643359396134,1394.717859217855,36.95293524294969,36.95293524294969,144.38073076789388,313.8582756271422
gait_02_half_bound__vx_pos_0p5__seed_0042,2,half_bound_front_a,half_bound,0.5,forward,42,valid,,cells/gait_02_half_bound/vx_pos_0p5/seed_0042,483,5.22,14.88,9.66,24,True,0.40258365869522095,recorded_joint_effort_limits,1000000000.0,1000000000.0,0.5,0.48040175598353824,0.05753848251353303,0.07537912205651365,0.175,0.05,True,False,False,4.791088342666626,4.64068096280098,0.150407379865646,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1890.1564096532686,3444.849883395585,5335.006293048854,-29.14136157192495,29.14136157192495,552.278084166548,1113.5270133799065,1.8901564096532686e-15,3.4448498833955855e-15,5.335006293048854e-15,-29.141361571924957,29.141361571924957,5.522780841665481e-16,1.1135270133799064e-15,837.7210250726561,1419.0020186080924,2256.7230436807486,-25.757746178164535,25.757746178164535,233.61522191312096,471.0251371454989,677.2979929202795,755.6577433942258,1432.9557363145054,-5.468399929469132,5.468399929469132,148.33910313814755,299.08772993255855
gait_02_half_bound__vx_pos_1p0__seed_0042,2,half_bound_front_a,half_bound,1.0,forward,42,valid,,cells/gait_02_half_bound/vx_pos_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.0,1.0032119316155794,0.05195186370456118,0.08228771341303145,0.3,0.05,True,False,False,9.84458875656128,9.791348452568055,0.0532403039932241,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1924.80878525558,3316.2121914854415,5241.0209767410215,-26.548327366074876,26.548327366074876,536.989854174285,532.3758164349887,1.9248087852555803e-15,3.316212191485441e-15,5.2410209767410215e-15,-26.54832736607487,26.54832736607487,5.36989854174285e-16,5.323758164349887e-16,768.9794265605061,1440.4629506306385,2209.4423771911447,-30.391538199959157,30.391538199959157,226.37729274499435,224.43216591638554,718.1684309005738,763.2560112285614,1481.424442129135,-3.0435288527565287,3.0435288527565287,151.78529120175565,150.48108953680637
gait_02_half_bound__vx_pos_1p5__seed_0042,2,half_bound_front_a,half_bound,1.5,forward,42,valid,,cells/gait_02_half_bound/vx_pos_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,1.5,1.5208790230254332,0.08906178231101873,0.08015180766883113,0.425,0.05,True,False,False,14.619997501373291,14.600438621044159,0.019558880329132222,commanded-sign world-x displacement across the same sample intervals as effort integration,True,1936.5489350764158,2688.4023174993567,4624.951252575773,-16.256460692514572,16.256460692514572,481.765755476643,316.34418898781206,1.936548935076416e-15,2.688402317499357e-15,4.624951252575773e-15,-16.25646069251458,16.25646069251458,4.817657554766431e-16,3.163441889878121e-16,846.1676953939552,1349.8501123523392,2196.0178077462942,-22.936171791580225,22.936171791580225,228.75185497357234,150.2064420695022,685.9671704477136,847.0958220243455,1533.062992472059,-10.51024337341889,10.51024337341889,159.6940617158395,104.86068772091478
gait_03_half_bound__vx_neg_1p5__seed_0042,3,half_bound_front_b,half_bound,-1.5,backward,42,valid,,cells/gait_03_half_bound/vx_neg_1p5/seed_0042,480,5.16,14.76,9.6,39,True,0.2460918128490448,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.5,-1.4531491408745447,0.06835531023347662,0.09428863129143769,0.425,0.05,True,False,False,13.843576908111572,13.95023175239563,-0.10665484428405847,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3762.320317324974,2350.2418346258933,6112.562151950868,23.10125357577601,23.10125357577601,636.7252241615488,441.54499899294404,3.762320317324974e-15,2.350241834625893e-15,6.112562151950867e-15,23.101253575776017,23.101253575776017,6.367252241615487e-16,4.4154499899294397e-16,1107.3930209950065,2184.911690842579,3292.3047118375853,-32.72840044159096,32.72840044159096,342.94840748308184,237.82182406257132,980.3189235893899,406.8214760366283,1387.1403996260183,41.34386452210461,41.34386452210461,144.49379162771024,100.20101082497187
gait_03_half_bound__vx_neg_1p0__seed_0042,3,half_bound_front_b,half_bound,-1.0,backward,42,valid,,cells/gait_03_half_bound/vx_neg_1p0/seed_0042,488,5.0200000000000005,14.780000000000001,9.76,31,True,0.31475794315338135,recorded_joint_effort_limits,1000000000.0,1000000000.0,-1.0,-0.9567496600698252,0.06837543736520839,0.08581491179306824,0.3,0.05,True,False,False,9.259003639221191,9.337876682281495,-0.07887304306030352,commanded-sign world-x displacement across the same sample intervals as effort integration,True,3580.856080268376,2013.381031173427,5594.237111441803,28.019460345880187,28.019460345880187,573.1800319100208,604.19428800574,3.580856080268376e-15,2.013381031173427e-15,5.594237111441803e-15,28.01946034588019,28.01946034588019,5.731800319100209e-16,6.0419428800574e-16,871.6825935497249,1659.6540934906866,2531.3366870404116,-31.12867221397729,31.12867221397729,259.35826711479626,273.3919097210044,955.2994128647204,449.01010624265547,1404.3095191073758,36.052543953691824,36.052543953691824,143.88417203969016,151.6696152012202
