cell_id,event,first_foot,second_foot,eligible_complete_cycles,matched_complete_cycles,unmatched_complete_cycles,coverage_fraction,mean_s,p95_s,mean_cycles,p95_cycles
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.006,0.02,0.019374847412109375,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,touchdown,fr,rl,30,29,1,0.9666666666666667,0.003448275862068966,0.02,0.011134969777074354,0.06458282470703125
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fl,rr,30,13,17,0.43333333333333335,0.0015384615384615385,0.007999999999999972,0.004967909592848558,0.02583312988281241
gait_00_trot__vx_neg_1p5__seed_0042,liftoff,fr,rl,30,29,1,0.9666666666666667,0.00689655172413793,0.02,0.02226993955414871,0.06458282470703125
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fl,rr,24,24,0,1.0,0.010833333333333334,0.02,0.02822041511535645,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,touchdown,fr,rl,24,24,0,1.0,0.0008333333333333334,0.0,0.002170801162719727,0.0
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fl,rr,24,22,2,0.9166666666666666,0.0036363636363636364,0.02,0.009472586891867899,0.052099227905273444
gait_00_trot__vx_neg_1p0__seed_0042,liftoff,fr,rl,24,24,0,1.0,0.008333333333333333,0.02,0.02170801162719727,0.052099227905273444
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.008421052631578945,0.02,0.01769617984169408,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,touchdown,fr,rl,19,19,0,1.0,0.007368421052631578,0.02,0.01548415736148232,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fl,rr,19,19,0,1.0,0.004210526315789474,0.02,0.00884808992084704,0.04202842712402344
gait_00_trot__vx_neg_0p5__seed_0042,liftoff,fr,rl,19,19,0,1.0,0.007368421052631578,0.02,0.01548415736148232,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fl,rr,19,19,0,1.0,0.011578947368421052,0.02,0.02433224728232936,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,touchdown,fr,rl,19,11,8,0.5789473684210527,0.2563636363636364,0.46,0.5387280204079368,0.9666538238525391
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fl,rr,19,19,0,1.0,0.004210526315789474,0.02,0.00884808992084704,0.04202842712402344
gait_00_trot__vx_pos_0p5__seed_0042,liftoff,fr,rl,19,19,0,1.0,0.008421052631578945,0.02,0.01769617984169408,0.04202842712402344
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fl,rr,24,24,0,1.0,0.009166666666666667,0.02,0.023878812789916996,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_0042,touchdown,fr,rl,24,24,0,1.0,0.006666666666666667,0.02,0.017366409301757816,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fl,rr,24,24,0,1.0,0.0025,0.02,0.0065124034881591806,0.052099227905273444
gait_00_trot__vx_pos_1p0__seed_0042,liftoff,fr,rl,24,24,0,1.0,0.011666666666666667,0.02,0.030391216278076175,0.052099227905273444
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fl,rr,30,30,0,1.0,0.004666666666666666,0.02,0.015069325764973959,0.06458282470703125
gait_00_trot__vx_pos_1p5__seed_0042,touchdown,fr,rl,30,30,0,1.0,0.004,0.02,0.01291656494140625,0.06458282470703125
gait_00_trot__vx_pos_1p5__seed_0042,liftoff,fl,rr,30,11,19,0.36666666666666664,0.0,0.0,0.0,0.0
