cell_id,gait_index,family,velocity_mps,seed,status,reason,positive_directed_progress,tracking_rmse_mps,yaw_tracking_rmse_radps,tracking_success_threshold_mps,yaw_tracking_success_threshold_radps,vx_relative_tracking_success_threshold,vx_relative_tracking_success,planar_tracking_success,yaw_tracking_success,tracking_success,velocity_metric_valid,velocity_metric_reason,heading_metric_valid,heading_metric_reason,recording_manifest_valid,recording_manifest_reason,gait_metric_valid,gait_metric_reason,load_metric_valid,load_metric_reason,raw_load_metric_valid,raw_load_metric_reason,grf_load_metric_valid,grf_load_metric_reason,normalized_load_metric_valid,normalized_load_metric_reason,velocity_success_domain_valid,gait_success_domain_valid,joint_success_domain_valid,velocity_only_success,gait_only_success,joint_velocity_and_gait_success,gait_row_correct,gait_family_correct,gait_classification_available,success,success_failed_checks,relative_output_dir
gait_04_half_bound__vx_neg_0p5__seed_0042,4,half_bound,-0.5,42,valid,,True,0.06367523080509964,0.07373656419601078,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_04_half_bound/vx_neg_0p5/seed_0042
gait_04_half_bound__vx_pos_0p5__seed_0042,4,half_bound,0.5,42,valid,,True,0.051131583297880506,0.07888905961666327,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_04_half_bound/vx_pos_0p5/seed_0042
gait_04_half_bound__vx_pos_1p0__seed_0042,4,half_bound,1.0,42,valid,,True,0.04667737704052879,0.07235379613774094,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_04_half_bound/vx_pos_1p0/seed_0042
gait_04_half_bound__vx_pos_1p5__seed_0042,4,half_bound,1.5,42,valid,,True,0.04147603324515915,0.06462169797592203,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_04_half_bound/vx_pos_1p5/seed_0042
gait_05_half_bound__vx_neg_1p5__seed_0042,5,half_bound,-1.5,42,valid,,True,0.05692705541910352,0.09144885280974686,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_05_half_bound/vx_neg_1p5/seed_0042
gait_05_half_bound__vx_neg_1p0__seed_0042,5,half_bound,-1.0,42,valid,,True,0.1191114413355327,0.1232645328680099,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_05_half_bound/vx_neg_1p0/seed_0042
gait_05_half_bound__vx_neg_0p5__seed_0042,5,half_bound,-0.5,42,valid,,True,0.05555231733955388,0.06858710375987886,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,True,False,True,True,True,False,"[""yaw_rmse""]",cells/gait_05_half_bound/vx_neg_0p5/seed_0042
gait_05_half_bound__vx_pos_0p5__seed_0042,5,half_bound,0.5,42,valid,,True,0.04967140653459943,0.07660618192788225,0.175,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_05_half_bound/vx_pos_0p5/seed_0042
gait_05_half_bound__vx_pos_1p0__seed_0042,5,half_bound,1.0,42,valid,,True,0.03850934623990654,0.06508342088913367,0.3,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""correct_family""]",cells/gait_05_half_bound/vx_pos_1p0/seed_0042
gait_05_half_bound__vx_pos_1p5__seed_0042,5,half_bound,1.5,42,valid,,True,0.05014352836965249,0.05986782199603129,0.425,0.05,0.2,True,True,False,False,True,,True,,True,,True,,True,,True,,True,,True,,True,True,True,False,False,False,False,False,True,False,"[""yaw_rmse"",""gait_agreement"",""correct_family""]",cells/gait_05_half_bound/vx_pos_1p5/seed_0042
